44	0	200	1	0	0.2946209258541291
44	0	200	1	72	0.039664281868977365
44	0	200	1	94	0.039664281868977365
44	0	200	1	90	0.016081996779396986
44	0	200	1	86	0.039664281868977365
44	0	200	1	99	0.039664281868977365
44	0	200	1	76	0.016081996779396986
44	0	200	1	91	0.016081996779396986
44	0	200	1	17	0.016081996779396986
44	0	200	1	3	0.016081996779396986
44	0	200	1	77	0.014306465316127719
44	0	200	1	75	0.008453453484818142
44	0	200	1	39	0.008453453484818142
44	0	200	1	1	0.0033410648167006758
44	0	200	1	12	0.008453453484818142
44	0	200	1	58	0.008453453484818142
44	0	200	1	16	0.008453453484818142
44	0	200	1	87	0.003369938962482905
44	0	200	1	54	0.0010151443515204327
44	0	200	1	24	0.0033410648167006758
44	0	200	1	29	0.0033410648167006758
44	0	200	2	0	0.2936450505987783
44	0	200	2	72	0.039144231125615506
44	0	200	2	94	0.039144231125615506
44	0	200	2	86	0.039144231125615506
44	0	200	2	99	0.039144231125615506
44	0	200	2	17	0.02450951231446416
44	0	200	2	91	0.02450951231446416
44	0	200	2	90	0.02450951231446416
44	0	200	2	76	0.01910390901684539
44	0	200	2	3	0.01910390901684539
44	0	200	2	77	0.00682318877761846
44	0	200	2	75	0.00682318877761846
44	0	200	2	39	0.006554385092390664
44	0	200	2	29	0.006235535103996595
44	0	200	2	58	0.006554385092390664
44	0	200	2	12	0.006554385092390664
44	0	200	2	16	0.006554385092390664
44	0	200	2	54	0.0018116275549191374
44	0	200	2	4	0.006235535103996595
44	0	200	2	52	0.006235535103996595
44	0	200	2	24	0.006235535103996595
44	0	200	2	1	0.006235535103996595
44	0	200	3	0	0.2978526389095191
44	0	200	3	72	0.036713730900570875
44	0	200	3	94	0.03551907292433304
44	0	200	3	99	0.03551907292433304
44	0	200	3	86	0.03551907292433304
44	0	200	3	91	0.0188652798208517
44	0	200	3	90	0.0188652798208517
44	0	200	3	76	0.01339668052516096
44	0	200	3	3	0.01339668052516096
44	0	200	3	17	0.01339668052516096
44	0	200	3	77	0.01195635793428459
44	0	200	3	75	0.011357986245370925
44	0	200	3	39	0.011357986245370925
44	0	200	3	29	0.004752706463632559
44	0	200	3	87	0.0019652692068310583
44	0	200	3	16	0.0019652692068310583
44	0	200	3	58	0.004752706463632559
44	0	200	3	52	0.004752706463632559
44	0	200	3	24	0.004752706463632559
44	0	200	3	12	0.004752706463632559
44	0	200	3	14	0.004752706463632559
44	0	200	3	1	0.004752706463632559
44	0	200	4	0	0.31593684919471304
44	0	200	4	72	0.04031527431559626
44	0	200	4	94	0.04031527431559626
44	0	200	4	86	0.04031527431559626
44	0	200	4	99	0.04031527431559626
44	0	200	4	76	0.016883415281608215
44	0	200	4	90	0.016883415281608215
44	0	200	4	91	0.016883415281608215
44	0	200	4	3	0.016883415281608215
44	0	200	4	17	0.016883415281608215
44	0	200	4	75	0.016883415281608215
44	0	200	4	39	0.016275173987969564
44	0	200	4	77	0.0071697426626846986
44	0	200	4	95	0.005037401346696624
44	0	200	4	54	0.003652103656714776
44	0	200	4	87	0.003652103656714776
44	0	200	4	16	0.003652103656714776
44	0	200	4	29	0.0029004575106264738
44	0	200	4	68	0.0007548996071445035
44	0	200	4	80	0.0029004575106264738
44	0	200	4	82	0.0029004575106264738
44	0	200	5	0	0.3005617411916372
44	0	200	5	72	0.0384003547060727
44	0	200	5	94	0.0384003547060727
44	0	200	5	86	0.0384003547060727
44	0	200	5	99	0.0384003547060727
44	0	200	5	91	0.018311400736900848
44	0	200	5	90	0.018311400736900848
44	0	200	5	76	0.014978953466018335
44	0	200	5	3	0.014978953466018335
44	0	200	5	17	0.010672916722127624
