species,gene,lam,k,rep
65,1,0,3,41
86,12,0,3,41
32,14,0,3,41
58,14,0,3,41
30,14,0,3,41
95,14,0,3,41
35,17,0,3,41
79,23,0,3,41
27,26,0,3,41
31,26,0,3,41
48,26,0,3,41
11,26,0,3,41
41,26,0,3,41
10,28,0,3,41
49,28,0,3,41
54,28,0,3,41
70,31,0,3,41
49,32,0,3,41
54,32,0,3,41
27,35,0,3,41
31,35,0,3,41
48,35,0,3,41
10,38,0,3,41
10,45,0,3,41
29,46,0,3,41
70,48,0,3,41
72,49,0,3,41
51,49,0,3,41
77,49,0,3,41
59,50,0,3,41
21,50,0,3,41
65,50,0,3,41
17,50,0,3,41
45,51,0,3,41
35,53,0,3,41
35,54,0,3,41
34,57,0,3,41
73,57,0,3,41
40,58,0,3,41
27,59,0,3,41
31,59,0,3,41
48,59,0,3,41
32,59,0,3,41
65,63,0,3,41
17,63,0,3,41
64,67,0,3,41
47,67,0,3,41
66,70,0,3,41
37,70,0,3,41
97,70,0,3,41
45,71,0,3,41
17,75,0,3,41
54,75,0,3,41
11,81,0,3,41
58,89,0,3,41
45,89,0,3,41
65,90,0,3,41
37,90,0,3,41
97,90,0,3,41
4,95,0,3,41
35,95,0,3,41
17,95,0,3,41
37,96,0,3,41
97,96,0,3,41
32,97,0,3,41
65,1,0.00001,3,41
30,14,0.00001,3,41
95,14,0.00001,3,41
35,17,0.00001,3,41
79,23,0.00001,3,41
100,24,0.00001,3,41
35,24,0.00001,3,41
27,26,0.00001,3,41
31,26,0.00001,3,41
48,26,0.00001,3,41
11,26,0.00001,3,41
41,26,0.00001,3,41
10,28,0.00001,3,41
49,28,0.00001,3,41
54,28,0.00001,3,41
49,32,0.00001,3,41
54,32,0.00001,3,41
27,35,0.00001,3,41
31,35,0.00001,3,41
48,35,0.00001,3,41
48,36,0.00001,3,41
10,38,0.00001,3,41
70,40,0.00001,3,41
100,41,0.00001,3,41
10,45,0.00001,3,41
72,49,0.00001,3,41
51,49,0.00001,3,41
77,49,0.00001,3,41
59,50,0.00001,3,41
21,50,0.00001,3,41
35,53,0.00001,3,41
35,54,0.00001,3,41
40,58,0.00001,3,41
65,63,0.00001,3,41
17,63,0.00001,3,41
64,67,0.00001,3,41
47,67,0.00001,3,41
37,70,0.00001,3,41
97,70,0.00001,3,41
17,75,0.00001,3,41
54,75,0.00001,3,41
99,78,0.00001,3,41
100,78,0.00001,3,41
11,81,0.00001,3,41
45,89,0.00001,3,41
37,92,0.00001,3,41
97,92,0.00001,3,41
4,95,0.00001,3,41
35,95,0.00001,3,41
17,95,0.00001,3,41
37,96,0.00001,3,41
97,96,0.00001,3,41
32,97,0.00001,3,41
65,1,0.0001,3,41
99,2,0.0001,3,41
100,2,0.0001,3,41
72,2,0.0001,3,41
51,2,0.0001,3,41
77,2,0.0001,3,41
89,13,0.0001,3,41
35,17,0.0001,3,41
89,23,0.0001,3,41
79,23,0.0001,3,41
35,24,0.0001,3,41
3,26,0.0001,3,41
27,26,0.0001,3,41
31,26,0.0001,3,41
48,26,0.0001,3,41
11,26,0.0001,3,41
41,26,0.0001,3,41
10,28,0.0001,3,41
49,28,0.0001,3,41
54,28,0.0001,3,41
49,32,0.0001,3,41
54,32,0.0001,3,41
27,35,0.0001,3,41
31,35,0.0001,3,41
48,35,0.0001,3,41
40,37,0.0001,3,41
92,37,0.0001,3,41
70,40,0.0001,3,41
32,40,0.0001,3,41
10,45,0.0001,3,41
59,50,0.0001,3,41
35,53,0.0001,3,41
35,54,0.0001,3,41
40,58,0.0001,3,41
65,63,0.0001,3,41
37,70,0.0001,3,41
97,70,0.0001,3,41
17,75,0.0001,3,41
54,75,0.0001,3,41
99,78,0.0001,3,41
100,78,0.0001,3,41
11,81,0.0001,3,41
76,87,0.0001,3,41
15,87,0.0001,3,41
45,89,0.0001,3,41
4,95,0.0001,3,41
65,1,0.001,3,41
35,13,0.001,3,41
75,13,0.001,3,41
99,22,0.001,3,41
100,22,0.001,3,41
35,22,0.001,3,41
70,40,0.001,3,41
11,81,0.001,3,41
15,87,0.001,3,41
76,36,true,3,41
78,36,true,3,41
1,36,true,3,41
15,36,true,3,41
20,36,true,3,41
26,36,true,3,41
14,36,true,3,41
90,36,true,3,41
61,36,true,3,41
74,36,true,3,41
72,40,true,3,41
77,40,true,3,41
