species,gene,lam,k
Amphimedon_queenslandica,381,0,3
Amphimedon_queenslandica,96,0,3
Baseodiscus_unicolor,122,0,3
Baseodiscus_unicolor,193,0,3
Baseodiscus_unicolor,23,0,3
Baseodiscus_unicolor,306,0,3
Baseodiscus_unicolor,323,0,3
Baseodiscus_unicolor,347,0,3
Baseodiscus_unicolor,36,0,3
Baseodiscus_unicolor,67,0,3
Baseodiscus_unicolor,92,0,3
Capitella_teleta,11,0,3
Capitella_teleta,112,0,3
Capitella_teleta,117,0,3
Capitella_teleta,147,0,3
Capitella_teleta,204,0,3
Capitella_teleta,245,0,3
Capitella_teleta,289,0,3
Capitella_teleta,319,0,3
Capitella_teleta,391,0,3
Capitella_teleta,52,0,3
Capitella_teleta,98,0,3
Drosophila_melanogaster,353,0,3
Drosophila_melanogaster,72,0,3
Gallus_gallus,18,0,3
Gallus_gallus,221,0,3
Gallus_gallus,280,0,3
Gallus_gallus,89,0,3
Hofstenia_miamia,168,0,3
Hofstenia_miamia,239,0,3
Homo_sapiens,221,0,3
Homo_sapiens,280,0,3
Homo_sapiens,346,0,3
Loxosoma_pectinaricola,181,0,3
Loxosoma_pectinaricola,185,0,3
Loxosoma_pectinaricola,187,0,3
Loxosoma_pectinaricola,19,0,3
Loxosoma_pectinaricola,294,0,3
Mnemiopsis_leidyi,357,0,3
Peripatopsis_capensis,224,0,3
Peripatopsis_capensis,269,0,3
Peripatopsis_capensis,369,0,3
Phoronis_vancouverensis,114,0,3
Priapulus_sp,113,0,3
Priapulus_sp,152,0,3
Priapulus_sp,168,0,3
Priapulus_sp,171,0,3
Priapulus_sp,196,0,3
Priapulus_sp,217,0,3
Priapulus_sp,377,0,3
Priapulus_sp,60,0,3
Xenoturbella_bocki,370,0,3
Xenoturbella_profundus,387,0,3
Amphimedon_queenslandica,381,0.00001,3
Amphimedon_queenslandica,96,0.00001,3
Baseodiscus_unicolor,122,0.00001,3
Baseodiscus_unicolor,23,0.00001,3
Baseodiscus_unicolor,306,0.00001,3
Baseodiscus_unicolor,323,0.00001,3
Baseodiscus_unicolor,347,0.00001,3
Baseodiscus_unicolor,36,0.00001,3
Baseodiscus_unicolor,67,0.00001,3
Capitella_teleta,11,0.00001,3
Capitella_teleta,112,0.00001,3
Capitella_teleta,117,0.00001,3
Capitella_teleta,147,0.00001,3
Capitella_teleta,245,0.00001,3
Capitella_teleta,289,0.00001,3
Capitella_teleta,319,0.00001,3
Capitella_teleta,391,0.00001,3
Capitella_teleta,52,0.00001,3
Capitella_teleta,98,0.00001,3
Ciona_intestinalis,179,0.00001,3
Drosophila_melanogaster,189,0.00001,3
Drosophila_melanogaster,72,0.00001,3
Gallus_gallus,18,0.00001,3
Gallus_gallus,221,0.00001,3
Gallus_gallus,280,0.00001,3
