gene,species,lam
250,Capitella_teleta,0.00001
251,Capitella_teleta,0.00001
254,Capitella_teleta,0.00001
255,Capitella_teleta,0.00001
257,Capitella_teleta,0.00001
260,Loxosoma_pectinaricola,0.00001
261,Xenoturbella_bocki,0.00001
262,Xenoturbella_bocki,0.00001
269,Capitella_teleta,0.00001
269,Priapulus_sp,0.00001
270,Capitella_teleta,0.00001
274,Capitella_teleta,0.00001
276,Xenoturbella_bocki,0.00001
280,Gallus_gallus,0.00001
281,Capitella_teleta,0.00001
282,Capitella_teleta,0.00001
283,Capitella_teleta,0.00001
286,Capitella_teleta,0.00001
289,Xenoturbella_bocki,0.00001
289,Capitella_teleta,0.00001
293,Capitella_teleta,0.00001
294,Loxosoma_pectinaricola,0.00001
294,Baseodiscus_unicolor,0.00001
296,Capitella_teleta,0.00001
297,Capitella_teleta,0.00001
298,Capitella_teleta,0.00001
299,Capitella_teleta,0.00001
300,Capitella_teleta,0.00001
301,Capitella_teleta,0.00001
306,Baseodiscus_unicolor,0.00001
309,Xenoturbella_bocki,0.00001
311,Capitella_teleta,0.00001
312,Capitella_teleta,0.00001
315,Capitella_teleta,0.00001
316,Baseodiscus_unicolor,0.00001
319,Capitella_teleta,0.00001
321,Capitella_teleta,0.00001
322,Capitella_teleta,0.00001
323,Baseodiscus_unicolor,0.00001
326,Xenoturbella_bocki,0.00001
328,Xenoturbella_bocki,0.00001
331,Capitella_teleta,0.00001
339,Capitella_teleta,0.00001
341,Capitella_teleta,0.00001
342,Capitella_teleta,0.00001
345,Capitella_teleta,0.00001
346,Capitella_teleta,0.00001
347,Baseodiscus_unicolor,0.00001
349,Capitella_teleta,0.00001
355,Capitella_teleta,0.00001
357,Mnemiopsis_leidyi,0.00001
357,Baseodiscus_unicolor,0.00001
358,Capitella_teleta,0.00001
359,Phoronis_vancouverensis,0.00001
360,Capitella_teleta,0.00001
363,Capitella_teleta,0.00001
366,Capitella_teleta,0.00001
367,Capitella_teleta,0.00001
368,Priapulus_sp,0.00001
369,Priapulus_sp,0.00001
370,Xenoturbella_bocki,0.00001
371,Capitella_teleta,0.00001
372,Capitella_teleta,0.00001
372,Phoronis_vancouverensis,0.00001
373,Loxosoma_pectinaricola,0.00001
374,Xenoturbella_bocki,0.00001
377,Priapulus_sp,0.00001
379,Xenoturbella_bocki,0.00001
381,Amphimedon_queenslandica,0.00001
381,Capitella_teleta,0.00001
385,Capitella_teleta,0.00001
387,Xenoturbella_bocki,0.00001
388,Xenoturbella_bocki,0.00001
391,Capitella_teleta,0.00001
1,Mnemiopsis_leidyi,0.00001
1,Loxosoma_pectinaricola,0.00001
12,Loxosoma_pectinaricola,0.00001
18,Loxosoma_pectinaricola,0.00001
52,Adineta_ricciae,0.00001
55,Mnemiopsis_leidyi,0.00001
55,Loxosoma_pectinaricola,0.00001
56,Loxosoma_pectinaricola,0.00001
65,Loxosoma_pectinaricola,0.00001
97,Amphimedon_queenslandica,0.00001
101,Loxosoma_pectinaricola,0.00001
104,Macrodasys_sp,0.00001
108,Loxosoma_pectinaricola,0.00001
113,Gnathostomula_paradoxa,0.00001
115,Adineta_ricciae,0.00001
118,Loxosoma_pectinaricola,0.00001
122,Peripatopsis_capensis,0.00001
123,Mnemiopsis_leidyi,0.00001
127,Mnemiopsis_leidyi,0.00001
132,Adineta_ricciae,0.00001
133,Adineta_ricciae,0.00001
134,Loxosoma_pectinaricola,0.00001
141,Adineta_ricciae,0.00001
149,Loxosoma_pectinaricola,0.00001
150,Lottia_gigantea,0.00001
152,Branchiostoma_floridae,0.00001
155,Gnathostomula_paradoxa,0.00001
164,Gallus_gallus,0.00001
166,Loxosoma_pectinaricola,0.00001
168,Hofstenia_miamia,0.00001
169,Anneissia_japonica,0.00001
171,Mnemiopsis_leidyi,0.00001
173,Adineta_ricciae,0.00001
180,Drosophila_melanogaster,0.00001
181,Loxosoma_pectinaricola,0.00001
195,Adineta_ricciae,0.00001
204,Baseodiscus_unicolor,0.00001
206,Macrodasys_sp,0.00001
206,Loxosoma_pectinaricola,0.00001
208,Gallus_gallus,0.00001
210,Macrodasys_sp,0.00001
210,Loxosoma_pectinaricola,0.00001
211,Adineta_ricciae,0.00001
215,Baseodiscus_unicolor,0.00001
221,Homo_sapiens,0.00001
228,Macrodasys_sp,0.00001
228,Loxosoma_pectinaricola,0.00001
229,Adineta_ricciae,0.00001
235,Mnemiopsis_leidyi,0.00001
241,Macrodasys_sp,0.00001
246,Trichoplax_adhaerens,0.00001
269,Peripatopsis_capensis,0.00001
278,Loxosoma_pectinaricola,0.00001
280,Homo_sapiens,0.00001
285,Loxosoma_pectinaricola,0.00001
290,Lottia_gigantea,0.00001
291,Mnemiopsis_leidyi,0.00001
301,Macrodasys_sp,0.00001
305,Mnemiopsis_leidyi,0.00001
326,Macrodasys_sp,0.00001
337,Loxosoma_pectinaricola,0.00001
345,Homo_sapiens,0.00001
346,Homo_sapiens,0.00001
351,Loxosoma_pectinaricola,0.00001
353,Drosophila_melanogaster,0.00001
354,Adineta_ricciae,0.00001
357,Loxosoma_pectinaricola,0.00001
364,Adineta_ricciae,0.00001
369,Peripatopsis_capensis,0.00001
374,Priapulus_sp,0.00001
386,Adineta_ricciae,0.00001
387,Xenoturbella_profundus,0.00001
6,Macrodasys_sp,0.00001
34,Adineta_ricciae,0.00001
48,Macrodasys_sp,0.00001
49,Loxosoma_pectinaricola,0.00001
55,Hofstenia_miamia,0.00001
60,Adineta_ricciae,0.00001
69,Macrodasys_sp,0.00001
74,Macrodasys_sp,0.00001
81,Adineta_ricciae,0.00001
85,Gnathostomula_paradoxa,0.00001
85,Priapulus_sp,0.00001
96,Mnemiopsis_leidyi,0.00001
96,Loxosoma_pectinaricola,0.00001
102,Mnemiopsis_leidyi,0.00001
111,Gallus_gallus,0.00001
114,Anneissia_japonica,0.00001
122,Amphimedon_queenslandica,0.00001
124,Macrodasys_sp,0.00001
125,Mnemiopsis_leidyi,0.00001
132,Mnemiopsis_leidyi,0.00001
135,Macrodasys_sp,0.00001
139,Mnemiopsis_leidyi,0.00001
160,Priapulus_sp,0.00001
168,Loxosoma_pectinaricola,0.00001
172,Homo_sapiens,0.00001
192,Loxosoma_pectinaricola,0.00001
201,Priapulus_sp,0.00001
209,Macrodasys_sp,0.00001
223,Branchiostoma_floridae,0.00001
224,Gallus_gallus,0.00001
227,Macrodasys_sp,0.00001
233,Macrodasys_sp,0.00001
234,Macrodasys_sp,0.00001
234,Loxosoma_pectinaricola,0.00001
250,Macrodasys_sp,0.00001
262,Amphimedon_queenslandica,0.00001
268,Gallus_gallus,0.00001
271,Adineta_ricciae,0.00001
285,Macrodasys_sp,0.00001
293,Macrodasys_sp,0.00001
306,Gnathostomula_paradoxa,0.00001
307,Loxosoma_pectinaricola,0.00001
322,Loxosoma_pectinaricola,0.00001
326,Mnemiopsis_leidyi,0.00001
337,Macrodasys_sp,0.00001
340,Peripatopsis_capensis,0.00001
347,Macrodasys_sp,0.00001
352,Macrodasys_sp,0.00001
356,Priapulus_sp,0.00001
359,Peripatopsis_capensis,0.00001
371,Adineta_ricciae,0.00001
372,Mnemiopsis_leidyi,0.00001
377,Hofstenia_miamia,0.00001
379,Xenoturbella_profundus,0.00001
22,Macrodasys_sp,0.00001
36,Macrodasys_sp,0.00001
41,Gallus_gallus,0.00001
65,Mnemiopsis_leidyi,0.00001
67,Macrodasys_sp,0.00001
71,Loxosoma_pectinaricola,0.00001
80,Priapulus_sp,0.00001
85,Drosophila_melanogaster,0.00001
94,Priapulus_sp,0.00001
111,Homo_sapiens,0.00001
121,Homo_sapiens,0.00001
129,Gallus_gallus,0.00001
132,Xenoturbella_profundus,0.00001
159,Gallus_gallus,0.00001
160,Drosophila_melanogaster,0.00001
166,Capitella_teleta,0.00001
172,Gallus_gallus,0.00001
209,Amphimedon_queenslandica,0.00001
214,Priapulus_sp,0.00001
224,Homo_sapiens,0.00001
225,Loxosoma_pectinaricola,0.00001
245,Macrodasys_sp,0.00001
250,Amphimedon_queenslandica,0.00001
268,Homo_sapiens,0.00001
348,Gallus_gallus,0.00001
355,Mnemiopsis_leidyi,0.00001
356,Drosophila_melanogaster,0.00001
41,Homo_sapiens,0.00001
80,Drosophila_melanogaster,0.00001
91,Amphimedon_queenslandica,0.00001
121,Baseodiscus_unicolor,0.00001
129,Homo_sapiens,0.00001
210,Nematostella_vectensis,0.00001
214,Drosophila_melanogaster,0.00001
