species,gene,lam,k,rep
76,3,0,3,40
45,3,0,3,40
29,8,0,3,40
23,8,0,3,40
74,8,0,3,40
29,14,0,3,40
23,14,0,3,40
74,14,0,3,40
70,17,0,3,40
94,24,0,3,40
90,27,0,3,40
58,27,0,3,40
29,32,0,3,40
23,32,0,3,40
74,32,0,3,40
72,34,0,3,40
62,39,0,3,40
46,40,0,3,40
46,44,0,3,40
29,45,0,3,40
96,45,0,3,40
99,46,0,3,40
3,46,0,3,40
21,47,0,3,40
3,48,0,3,40
46,49,0,3,40
3,53,0,3,40
29,54,0,3,40
23,54,0,3,40
74,54,0,3,40
46,56,0,3,40
79,62,0,3,40
33,62,0,3,40
11,68,0,3,40
90,70,0,3,40
57,72,0,3,40
29,73,0,3,40
23,73,0,3,40
74,73,0,3,40
70,78,0,3,40
90,78,0,3,40
90,80,0,3,40
3,80,0,3,40
21,85,0,3,40
4,88,0,3,40
3,91,0,3,40
21,94,0,3,40
16,94,0,3,40
45,3,0.00001,3,40
29,8,0.00001,3,40
23,8,0.00001,3,40
74,8,0.00001,3,40
29,13,0.00001,3,40
38,13,0.00001,3,40
29,14,0.00001,3,40
23,14,0.00001,3,40
74,14,0.00001,3,40
19,16,0.00001,3,40
89,16,0.00001,3,40
70,17,0.00001,3,40
94,24,0.00001,3,40
4,26,0.00001,3,40
11,26,0.00001,3,40
3,26,0.00001,3,40
53,29,0.00001,3,40
29,32,0.00001,3,40
74,32,0.00001,3,40
72,34,0.00001,3,40
62,39,0.00001,3,40
46,40,0.00001,3,40
46,44,0.00001,3,40
29,45,0.00001,3,40
96,45,0.00001,3,40
3,46,0.00001,3,40
3,48,0.00001,3,40
46,49,0.00001,3,40
29,54,0.00001,3,40
23,54,0.00001,3,40
74,54,0.00001,3,40
61,55,0.00001,3,40
59,55,0.00001,3,40
46,55,0.00001,3,40
62,55,0.00001,3,40
45,55,0.00001,3,40
29,56,0.00001,3,40
23,56,0.00001,3,40
74,56,0.00001,3,40
46,56,0.00001,3,40
79,62,0.00001,3,40
11,68,0.00001,3,40
57,72,0.00001,3,40
29,73,0.00001,3,40
23,73,0.00001,3,40
74,73,0.00001,3,40
29,75,0.00001,3,40
90,80,0.00001,3,40
29,84,0.00001,3,40
23,84,0.00001,3,40
46,86,0.00001,3,40
4,88,0.00001,3,40
21,94,0.00001,3,40
29,8,0.0001,3,40
29,13,0.0001,3,40
13,13,0.0001,3,40
7,13,0.0001,3,40
29,14,0.0001,3,40
27,25,0.0001,3,40
49,25,0.0001,3,40
58,25,0.0001,3,40
4,26,0.0001,3,40
11,26,0.0001,3,40
29,32,0.0001,3,40
72,34,0.0001,3,40
62,39,0.0001,3,40
46,40,0.0001,3,40
29,45,0.0001,3,40
96,45,0.0001,3,40
3,46,0.0001,3,40
3,48,0.0001,3,40
46,49,0.0001,3,40
29,54,0.0001,3,40
23,54,0.0001,3,40
74,54,0.0001,3,40
61,55,0.0001,3,40
50,55,0.0001,3,40
81,55,0.0001,3,40
26,55,0.0001,3,40
59,55,0.0001,3,40
88,55,0.0001,3,40
46,55,0.0001,3,40
62,55,0.0001,3,40
45,55,0.0001,3,40
57,55,0.0001,3,40
17,55,0.0001,3,40
94,55,0.0001,3,40
29,56,0.0001,3,40
23,56,0.0001,3,40
74,56,0.0001,3,40
79,56,0.0001,3,40
11,68,0.0001,3,40
29,73,0.0001,3,40
29,75,0.0001,3,40
29,84,0.0001,3,40
46,86,0.0001,3,40
4,88,0.0001,3,40
29,98,0.0001,3,40
29,8,0.001,3,40
96,13,0.001,3,40
37,13,0.001,3,40
18,13,0.001,3,40
69,13,0.001,3,40
55,13,0.001,3,40
97,13,0.001,3,40
77,13,0.001,3,40
13,13,0.001,3,40
7,13,0.001,3,40
66,13,0.001,3,40
29,14,0.001,3,40
27,25,0.001,3,40
49,25,0.001,3,40
58,25,0.001,3,40
29,32,0.001,3,40
96,45,0.001,3,40
