species,gene,lam,k
BOS,125,0,3
BOS,176,0,3
BOS,255,0,3
BOS,289,0,3
BOS,295,0,3
BOS,377,0,3
BOS,400,0,3
BOS,57,0,3
BOS,8,0,3
CAL,101,0,3
CAL,177,0,3
CAL,212,0,3
CAL,232,0,3
CAL,240,0,3
CAL,330,0,3
CAL,400,0,3
CAL,57,0,3
CAL,67,0,3
CAL,8,0,3
CAN,125,0,3
CAN,176,0,3
CAN,194,0,3
CAN,255,0,3
CAN,289,0,3
CAN,295,0,3
CAN,377,0,3
CAN,400,0,3
CAN,57,0,3
CAN,67,0,3
CAN,8,0,3
CAV,101,0,3
CAV,232,0,3
CAV,8,0,3
CHO,81,0,3
DAS,81,0,3
DIP,101,0,3
DIP,176,0,3
DIP,232,0,3
DIP,255,0,3
ECH,81,0,3
EQU,125,0,3
EQU,176,0,3
EQU,194,0,3
EQU,255,0,3
EQU,289,0,3
EQU,295,0,3
EQU,377,0,3
EQU,400,0,3
EQU,57,0,3
EQU,67,0,3
EQU,8,0,3
EQU,87,0,3
ERI,101,0,3
ERI,176,0,3
ERI,255,0,3
ERI,289,0,3
ERI,377,0,3
ERI,400,0,3
ERI,57,0,3
ERI,8,0,3
FEL,125,0,3
FEL,176,0,3
FEL,194,0,3
FEL,255,0,3
FEL,289,0,3
FEL,295,0,3
FEL,377,0,3
FEL,400,0,3
FEL,57,0,3
FEL,67,0,3
FEL,8,0,3
GAL,101,0,3
GAL,289,0,3
GAL,330,0,3
GAL,377,0,3
GAL,398,0,3
GAL,400,0,3
GAL,57,0,3
GOR,101,0,3
GOR,177,0,3
GOR,212,0,3
GOR,232,0,3
GOR,240,0,3
GOR,330,0,3
GOR,34,0,3
GOR,400,0,3
GOR,57,0,3
GOR,67,0,3
GOR,8,0,3
HOM,101,0,3
HOM,177,0,3
HOM,212,0,3
HOM,232,0,3
HOM,240,0,3
HOM,330,0,3
HOM,34,0,3
HOM,400,0,3
HOM,57,0,3
HOM,67,0,3
HOM,8,0,3
LOX,81,0,3
MAC,101,0,3
MAC,157,0,3
MAC,176,0,3
MAC,177,0,3
MAC,215,0,3
MAC,232,0,3
MAC,240,0,3
MAC,255,0,3
MAC,289,0,3
MAC,295,0,3
MAC,330,0,3
MAC,335,0,3
MAC,34,0,3
MAC,377,0,3
MAC,398,0,3
MAC,400,0,3
MAC,57,0,3
MAC,8,0,3
MAC,81,0,3
MIC,177,0,3
MIC,232,0,3
MIC,240,0,3
MIC,330,0,3
MIC,57,0,3
MIC,8,0,3
MON,101,0,3
MON,157,0,3
MON,176,0,3
MON,177,0,3
MON,215,0,3
MON,232,0,3
MON,240,0,3
MON,255,0,3
MON,289,0,3
MON,295,0,3
MON,330,0,3
MON,335,0,3
MON,34,0,3
MON,377,0,3
MON,398,0,3
MON,400,0,3
MON,57,0,3
MON,8,0,3
MON,81,0,3
MUS,101,0,3
MUS,232,0,3
MUS,295,0,3
MUS,330,0,3
MUS,377,0,3
MUS,400,0,3
MUS,57,0,3
MYO,125,0,3
MYO,176,0,3
MYO,194,0,3
MYO,255,0,3
MYO,289,0,3
