species,gene,lam,k,rep,error
67,68,0.0001,3,11,200
43,68,0.0001,3,11,200
5,68,0.0001,3,11,200
1,68,0.0001,3,11,200
3,68,0.0001,3,11,200
46,68,0.0001,3,11,200
85,68,0.0001,3,11,200
82,68,0.0001,3,11,200
4,68,0.0001,3,11,200
22,68,0.0001,3,11,200
48,68,0.0001,3,11,200
68,68,0.0001,3,11,200
36,68,0.0001,3,11,200
45,68,0.0001,3,11,200
29,71,0.0001,3,11,200
65,72,0.0001,3,11,200
61,72,0.0001,3,11,200
81,72,0.0001,3,11,200
7,72,0.0001,3,11,200
42,74,0.0001,3,11,200
67,77,0.0001,3,11,200
5,77,0.0001,3,11,200
3,77,0.0001,3,11,200
46,77,0.0001,3,11,200
85,77,0.0001,3,11,200
82,77,0.0001,3,11,200
22,77,0.0001,3,11,200
48,77,0.0001,3,11,200
68,77,0.0001,3,11,200
36,77,0.0001,3,11,200
45,77,0.0001,3,11,200
25,78,0.0001,3,11,200
49,80,0.0001,3,11,200
87,80,0.0001,3,11,200
43,80,0.0001,3,11,200
0,93,0.0001,3,11,200
100,94,0.0001,3,11,200
42,95,0.0001,3,11,200
10,95,0.0001,3,11,200
32,97,0.0001,3,11,200
80,97,0.0001,3,11,200
16,97,0.0001,3,11,200
67,97,0.0001,3,11,200
5,97,0.0001,3,11,200
7,97,0.0001,3,11,200
29,97,0.0001,3,11,200
3,97,0.0001,3,11,200
22,97,0.0001,3,11,200
48,97,0.0001,3,11,200
68,97,0.0001,3,11,200
36,97,0.0001,3,11,200
45,97,0.0001,3,11,200
86,97,0.0001,3,11,200
75,97,0.0001,3,11,200
89,97,0.0001,3,11,200
14,97,0.0001,3,11,200
7,100,0.0001,3,11,200
16,2,0.001,3,11,200
7,2,0.001,3,11,200
64,6,0.001,3,11,200
44,6,0.001,3,11,200
0,15,0.001,3,11,200
60,25,0.001,3,11,200
64,25,0.001,3,11,200
45,27,0.001,3,11,200
19,31,0.001,3,11,200
29,31,0.001,3,11,200
1,31,0.001,3,11,200
3,31,0.001,3,11,200
4,31,0.001,3,11,200
45,39,0.001,3,11,200
1,47,0.001,3,11,200
3,47,0.001,3,11,200
46,47,0.001,3,11,200
85,47,0.001,3,11,200
82,47,0.001,3,11,200
4,47,0.001,3,11,200
25,55,0.001,3,11,200
21,57,0.001,3,11,200
5,68,0.001,3,11,200
22,68,0.001,3,11,200
48,68,0.001,3,11,200
68,68,0.001,3,11,200
36,68,0.001,3,11,200
45,68,0.001,3,11,200
41,95,0.001,3,11,200
54,95,0.001,3,11,200
5,97,0.001,3,11,200
48,97,0.001,3,11,200
7,100,0.001,3,11,200
1,31,0.01,3,11,200
11,22,0.1,3,11,200
19,22,0.1,3,11,200
77,22,0.1,3,11,200
18,22,0.1,3,11,200
15,22,0.1,3,11,200
47,22,0.1,3,11,200
1,31,0.1,3,11,200
1,31,10,3,11,200
99,18,true,3,11,200
91,18,true,3,11,200
96,18,true,3,11,200
40,64,true,3,11,200
30,64,true,3,11,200
13,64,true,3,11,200
60,83,true,3,11,200
62,83,true,3,11,200
65,83,true,3,11,200
61,83,true,3,11,200
81,83,true,3,11,200
51,83,true,3,11,200
76,83,true,3,11,200
7,2,0,3,11,400
9,2,0,3,11,400
6,2,0,3,11,400
65,2,0,3,11,400
99,8,0,3,11,400
99,12,0,3,11,400
0,13,0,3,11,400
90,13,0,3,11,400
69,15,0,3,11,400
0,16,0,3,11,400
41,16,0,3,11,400
54,16,0,3,11,400
5,17,0,3,11,400
45,17,0,3,11,400
68,17,0,3,11,400
36,17,0,3,11,400
22,17,0,3,11,400
48,17,0,3,11,400
99,19,0,3,11,400
91,21,0,3,11,400
96,21,0,3,11,400
0,22,0,3,11,400
68,22,0,3,11,400
36,22,0,3,11,400
22,22,0,3,11,400
48,22,0,3,11,400
67,22,0,3,11,400
1,22,0,3,11,400
29,22,0,3,11,400
46,22,0,3,11,400
85,22,0,3,11,400
82,22,0,3,11,400
4,22,0,3,11,400
3,22,0,3,11,400
92,22,0,3,11,400
94,22,0,3,11,400
97,22,0,3,11,400
23,22,0,3,11,400
41,23,0,3,11,400
54,23,0,3,11,400
0,24,0,3,11,400
45,27,0,3,11,400
7,27,0,3,11,400
9,31,0,3,11,400
6,31,0,3,11,400
43,32,0,3,11,400
0,35,0,3,11,400
0,36,0,3,11,400
23,36,0,3,11,400
1,37,0,3,11,400
97,40,0,3,11,400
39,41,0,3,11,400
0,45,0,3,11,400
62,45,0,3,11,400
5,49,0,3,11,400
45,49,0,3,11,400
68,49,0,3,11,400
36,49,0,3,11,400
22,49,0,3,11,400
48,49,0,3,11,400
99,49,0,3,11,400
99,52,0,3,11,400
0,57,0,3,11,400
23,57,0,3,11,400
94,58,0,3,11,400
23,61,0,3,11,400
43,63,0,3,11,400
17,63,0,3,11,400
11,64,0,3,11,400
19,64,0,3,11,400
5,68,0,3,11,400
45,68,0,3,11,400
67,68,0,3,11,400
43,68,0,3,11,400
37,68,0,3,11,400
9,68,0,3,11,400
6,68,0,3,11,400
72,69,0,3,11,400
31,69,0,3,11,400
38,69,0,3,11,400
33,69,0,3,11,400
93,70,0,3,11,400
29,71,0,3,11,400
97,74,0,3,11,400
47,79,0,3,11,400
18,79,0,3,11,400
77,79,0,3,11,400
15,79,0,3,11,400
99,83,0,3,11,400
0,86,0,3,11,400
88,90,0,3,11,400
67,94,0,3,11,400
43,94,0,3,11,400
88,95,0,3,11,400
5,97,0,3,11,400
67,97,0,3,11,400
7,97,0,3,11,400
89,97,0,3,11,400
75,97,0,3,11,400
23,98,0,3,11,400
98,99,0,3,11,400
39,99,0,3,11,400
43,100,0,3,11,400
7,100,0,3,11,400
7,2,0.00001,3,11,400
9,2,0.00001,3,11,400
6,2,0.00001,3,11,400
65,2,0.00001,3,11,400
99,8,0.00001,3,11,400
90,13,0.00001,3,11,400
69,15,0.00001,3,11,400
0,16,0.00001,3,11,400
41,16,0.00001,3,11,400
54,16,0.00001,3,11,400
5,17,0.00001,3,11,400
45,17,0.00001,3,11,400
68,17,0.00001,3,11,400
36,17,0.00001,3,11,400
22,17,0.00001,3,11,400
48,17,0.00001,3,11,400
91,21,0.00001,3,11,400
96,21,0.00001,3,11,400
0,22,0.00001,3,11,400
68,22,0.00001,3,11,400
36,22,0.00001,3,11,400
22,22,0.00001,3,11,400
48,22,0.00001,3,11,400
67,22,0.00001,3,11,400
1,22,0.00001,3,11,400
46,22,0.00001,3,11,400
85,22,0.00001,3,11,400
82,22,0.00001,3,11,400
4,22,0.00001,3,11,400
3,22,0.00001,3,11,400
92,22,0.00001,3,11,400
23,22,0.00001,3,11,400
41,23,0.00001,3,11,400
54,23,0.00001,3,11,400
0,24,0.00001,3,11,400
45,27,0.00001,3,11,400
7,27,0.00001,3,11,400
9,31,0.00001,3,11,400
6,31,0.00001,3,11,400
43,32,0.00001,3,11,400
0,35,0.00001,3,11,400
0,36,0.00001,3,11,400
23,36,0.00001,3,11,400
1,37,0.00001,3,11,400
97,40,0.00001,3,11,400
39,41,0.00001,3,11,400
0,45,0.00001,3,11,400
5,49,0.00001,3,11,400
45,49,0.00001,3,11,400
68,49,0.00001,3,11,400
36,49,0.00001,3,11,400
22,49,0.00001,3,11,400
48,49,0.00001,3,11,400
91,49,0.00001,3,11,400
96,49,0.00001,3,11,400
0,57,0.00001,3,11,400
23,57,0.00001,3,11,400
94,58,0.00001,3,11,400
23,60,0.00001,3,11,400
23,61,0.00001,3,11,400
43,63,0.00001,3,11,400
17,63,0.00001,3,11,400
11,64,0.00001,3,11,400
19,64,0.00001,3,11,400
5,68,0.00001,3,11,400
45,68,0.00001,3,11,400
67,68,0.00001,3,11,400
43,68,0.00001,3,11,400
9,68,0.00001,3,11,400
6,68,0.00001,3,11,400
31,69,0.00001,3,11,400
38,69,0.00001,3,11,400
33,69,0.00001,3,11,400
93,70,0.00001,3,11,400
29,71,0.00001,3,11,400
97,74,0.00001,3,11,400
47,79,0.00001,3,11,400
18,79,0.00001,3,11,400
77,79,0.00001,3,11,400
15,79,0.00001,3,11,400
88,90,0.00001,3,11,400
67,94,0.00001,3,11,400
43,94,0.00001,3,11,400
88,95,0.00001,3,11,400
5,97,0.00001,3,11,400
67,97,0.00001,3,11,400
7,97,0.00001,3,11,400
89,97,0.00001,3,11,400
75,97,0.00001,3,11,400
23,98,0.00001,3,11,400
98,99,0.00001,3,11,400
39,99,0.00001,3,11,400
43,100,0.00001,3,11,400
7,100,0.00001,3,11,400
7,2,0.0001,3,11,400
6,2,0.0001,3,11,400
65,2,0.0001,3,11,400
41,16,0.0001,3,11,400
54,16,0.0001,3,11,400
68,17,0.0001,3,11,400
22,17,0.0001,3,11,400
48,17,0.0001,3,11,400
91,21,0.0001,3,11,400
0,22,0.0001,3,11,400
3,22,0.0001,3,11,400
23,22,0.0001,3,11,400
45,27,0.0001,3,11,400
7,27,0.0001,3,11,400
9,31,0.0001,3,11,400
43,32,0.0001,3,11,400
0,35,0.0001,3,11,400
23,36,0.0001,3,11,400
1,37,0.0001,3,11,400
39,41,0.0001,3,11,400
68,49,0.0001,3,11,400
36,49,0.0001,3,11,400
22,49,0.0001,3,11,400
48,49,0.0001,3,11,400
91,49,0.0001,3,11,400
96,49,0.0001,3,11,400
0,57,0.0001,3,11,400
23,57,0.0001,3,11,400
23,61,0.0001,3,11,400
43,63,0.0001,3,11,400
11,64,0.0001,3,11,400
19,64,0.0001,3,11,400
5,68,0.0001,3,11,400
45,68,0.0001,3,11,400
67,68,0.0001,3,11,400
43,68,0.0001,3,11,400
9,68,0.0001,3,11,400
6,68,0.0001,3,11,400
31,69,0.0001,3,11,400
88,90,0.0001,3,11,400
67,94,0.0001,3,11,400
43,94,0.0001,3,11,400
88,95,0.0001,3,11,400
5,97,0.0001,3,11,400
67,97,0.0001,3,11,400
23,98,0.0001,3,11,400
39,99,0.0001,3,11,400
43,100,0.0001,3,11,400
7,100,0.0001,3,11,400
82,17,0.001,3,11,400
85,22,0.001,3,11,400
82,22,0.001,3,11,400
4,22,0.001,3,11,400
3,22,0.001,3,11,400
82,49,0.001,3,11,400
4,49,0.001,3,11,400
3,49,0.001,3,11,400
10,83,0.001,3,11,400
88,95,0.001,3,11,400
11,26,0.01,3,11,400
19,26,0.01,3,11,400
10,83,0.01,3,11,400
88,95,0.01,3,11,400
10,83,0.1,3,11,400
10,83,1,3,11,400
10,83,10,3,11,400
10,83,100,3,11,400
99,18,true,3,11,400
91,18,true,3,11,400
96,18,true,3,11,400
9,24,true,3,11,400
6,24,true,3,11,400
60,83,true,3,11,400
62,83,true,3,11,400
51,83,true,3,11,400
16,83,true,3,11,400
39,83,true,3,11,400
76,83,true,3,11,400
81,83,true,3,11,400
61,83,true,3,11,400
65,83,true,3,11,400
71,83,true,3,11,400
42,89,true,3,11,400
64,89,true,3,11,400
44,89,true,3,11,400
32,89,true,3,11,400
80,89,true,3,11,400
89,89,true,3,11,400
75,89,true,3,11,400
81,2,0,3,11,800
61,2,0,3,11,800
65,2,0,3,11,800
23,2,0,3,11,800
9,2,0,3,11,800
6,2,0,3,11,800
98,2,0,3,11,800
40,4,0,3,11,800
30,4,0,3,11,800
13,4,0,3,11,800
56,4,0,3,11,800
58,4,0,3,11,800
79,6,0,3,11,800
37,6,0,3,11,800
99,7,0,3,11,800
73,8,0,3,11,800
72,8,0,3,11,800
40,11,0,3,11,800
30,11,0,3,11,800
13,11,0,3,11,800
99,12,0,3,11,800
90,13,0,3,11,800
7,17,0,3,11,800
46,17,0,3,11,800
85,17,0,3,11,800
82,17,0,3,11,800
4,17,0,3,11,800
3,17,0,3,11,800
45,17,0,3,11,800
5,17,0,3,11,800
68,17,0,3,11,800
48,17,0,3,11,800
22,17,0,3,11,800
36,17,0,3,11,800
56,18,0,3,11,800
58,18,0,3,11,800
99,19,0,3,11,800
73,21,0,3,11,800
72,21,0,3,11,800
23,22,0,3,11,800
94,22,0,3,11,800
98,22,0,3,11,800
97,22,0,3,11,800
92,22,0,3,11,800
64,22,0,3,11,800
44,22,0,3,11,800
40,24,0,3,11,800
30,24,0,3,11,800
13,24,0,3,11,800
40,27,0,3,11,800
30,27,0,3,11,800
13,27,0,3,11,800
7,27,0,3,11,800
45,27,0,3,11,800
33,31,0,3,11,800
0,32,0,3,11,800
40,33,0,3,11,800
30,33,0,3,11,800
13,33,0,3,11,800
64,36,0,3,11,800
44,36,0,3,11,800
1,37,0,3,11,800
92,37,0,3,11,800
0,39,0,3,11,800
56,39,0,3,11,800
58,39,0,3,11,800
73,40,0,3,11,800
72,40,0,3,11,800
17,41,0,3,11,800
12,41,0,3,11,800
99,44,0,3,11,800
95,44,0,3,11,800
93,44,0,3,11,800
79,46,0,3,11,800
37,46,0,3,11,800
7,47,0,3,11,800
46,47,0,3,11,800
85,47,0,3,11,800
82,47,0,3,11,800
4,47,0,3,11,800
3,47,0,3,11,800
1,47,0,3,11,800
45,47,0,3,11,800
5,47,0,3,11,800
68,47,0,3,11,800
48,47,0,3,11,800
22,47,0,3,11,800
36,47,0,3,11,800
7,49,0,3,11,800
46,49,0,3,11,800
85,49,0,3,11,800
82,49,0,3,11,800
4,49,0,3,11,800
3,49,0,3,11,800
1,49,0,3,11,800
45,49,0,3,11,800
5,49,0,3,11,800
68,49,0,3,11,800
48,49,0,3,11,800
22,49,0,3,11,800
36,49,0,3,11,800
91,49,0,3,11,800
96,49,0,3,11,800
40,51,0,3,11,800
30,51,0,3,11,800
13,51,0,3,11,800
40,52,0,3,11,800
30,52,0,3,11,800
13,52,0,3,11,800
99,52,0,3,11,800
73,53,0,3,11,800
72,53,0,3,11,800
40,55,0,3,11,800
30,55,0,3,11,800
13,55,0,3,11,800
81,57,0,3,11,800
61,57,0,3,11,800
65,57,0,3,11,800
67,57,0,3,11,800
23,57,0,3,11,800
56,60,0,3,11,800
58,60,0,3,11,800
