species,gene,lam,k,rep
35,1,0,3,13
54,1,0,3,13
3,1,0,3,13
26,1,0,3,13
57,1,0,3,13
24,1,0,3,13
63,1,0,3,13
47,1,0,3,13
62,1,0,3,13
6,1,0,3,13
43,1,0,3,13
44,1,0,3,13
17,1,0,3,13
42,1,0,3,13
32,2,0,3,13
13,2,0,3,13
19,3,0,3,13
90,4,0,3,13
98,4,0,3,13
100,4,0,3,13
72,4,0,3,13
13,5,0,3,13
32,6,0,3,13
35,7,0,3,13
63,7,0,3,13
62,7,0,3,13
60,11,0,3,13
60,12,0,3,13
58,12,0,3,13
35,13,0,3,13
63,13,0,3,13
47,13,0,3,13
62,13,0,3,13
6,13,0,3,13
35,14,0,3,13
9,17,0,3,13
40,17,0,3,13
90,17,0,3,13
98,17,0,3,13
58,18,0,3,13
60,19,0,3,13
35,20,0,3,13
61,20,0,3,13
63,20,0,3,13
47,20,0,3,13
62,20,0,3,13
6,20,0,3,13
19,20,0,3,13
35,23,0,3,13
63,23,0,3,13
47,23,0,3,13
62,23,0,3,13
6,23,0,3,13
19,23,0,3,13
2,24,0,3,13
84,26,0,3,13
13,29,0,3,13
35,30,0,3,13
56,33,0,3,13
14,33,0,3,13
82,34,0,3,13
56,37,0,3,13
61,37,0,3,13
13,39,0,3,13
81,44,0,3,13
2,44,0,3,13
24,44,0,3,13
19,44,0,3,13
97,47,0,3,13
78,47,0,3,13
25,48,0,3,13
31,49,0,3,13
92,50,0,3,13
81,50,0,3,13
94,50,0,3,13
78,50,0,3,13
35,50,0,3,13
20,52,0,3,13
26,52,0,3,13
57,52,0,3,13
56,53,0,3,13
14,53,0,3,13
35,54,0,3,13
17,55,0,3,13
42,55,0,3,13
60,56,0,3,13
26,56,0,3,13
58,57,0,3,13
98,59,0,3,13
19,60,0,3,13
9,62,0,3,13
61,63,0,3,13
64,64,0,3,13
63,66,0,3,13
62,66,0,3,13
32,68,0,3,13
35,68,0,3,13
9,69,0,3,13
2,71,0,3,13
47,74,0,3,13
1,76,0,3,13
43,78,0,3,13
44,78,0,3,13
35,86,0,3,13
63,86,0,3,13
47,86,0,3,13
62,86,0,3,13
6,86,0,3,13
19,86,0,3,13
63,87,0,3,13
47,87,0,3,13
62,87,0,3,13
6,87,0,3,13
19,87,0,3,13
40,88,0,3,13
8,91,0,3,13
61,91,0,3,13
23,91,0,3,13
41,91,0,3,13
64,91,0,3,13
58,91,0,3,13
83,92,0,3,13
95,92,0,3,13
72,94,0,3,13
19,95,0,3,13
54,1,0.00001,3,13
3,1,0.00001,3,13
26,1,0.00001,3,13
57,1,0.00001,3,13
24,1,0.00001,3,13
6,1,0.00001,3,13
43,1,0.00001,3,13
44,1,0.00001,3,13
42,1,0.00001,3,13
32,2,0.00001,3,13
90,4,0.00001,3,13
98,4,0.00001,3,13
100,4,0.00001,3,13
72,4,0.00001,3,13
13,5,0.00001,3,13
32,6,0.00001,3,13
35,7,0.00001,3,13
63,7,0.00001,3,13
62,7,0.00001,3,13
29,12,0.00001,3,13
36,12,0.00001,3,13
27,12,0.00001,3,13
30,12,0.00001,3,13
15,12,0.00001,3,13
49,12,0.00001,3,13
1,12,0.00001,3,13
28,12,0.00001,3,13
58,12,0.00001,3,13
43,12,0.00001,3,13
44,12,0.00001,3,13
17,12,0.00001,3,13
35,13,0.00001,3,13
63,13,0.00001,3,13
47,13,0.00001,3,13
62,13,0.00001,3,13
6,13,0.00001,3,13
35,14,0.00001,3,13
98,17,0.00001,3,13
63,20,0.00001,3,13
47,20,0.00001,3,13
62,20,0.00001,3,13
6,20,0.00001,3,13
19,20,0.00001,3,13
63,23,0.00001,3,13
47,23,0.00001,3,13
62,23,0.00001,3,13
6,23,0.00001,3,13
19,23,0.00001,3,13
2,24,0.00001,3,13
9,29,0.00001,3,13
90,29,0.00001,3,13
98,29,0.00001,3,13
35,30,0.00001,3,13
56,33,0.00001,3,13
14,33,0.00001,3,13
69,35,0.00001,3,13
