1	-1576811.6541599073
2	-1740009.0919897782
3	-5866207.035802034
4	-4601791.856815805
5	-3188197.337386873
6	-3280035.065650131
7	-2059696.7270553939
8	-2247265.9228107263
9	-3313594.058562095
10	-3229605.661222232
11	-5116583.710334551
12	-1483814.2541403451
13	-2711216.1713746693
14	-2313974.0240202383
15	-1585909.597251634
16	-2933862.027983118
17	-1615788.3130788899
18	-2483304.673458792
19	-4665892.120625882
20	-1636244.0588554488
21	-1910505.856307384
22	-2612671.8277210626
23	-3859857.6662455667
24	-2636134.8765479974
25	-7482916.497862151
26	-5395733.906279973
27	-1360777.8362567034
28	-7926351.516483684
29	-1939874.7372889216
30	-5844630.068213644
