47	0	1	0	0.3346375523691552
47	0	1	88	0.060097984465659705
47	0	1	69	0.0348277087170822
47	0	1	74	0.0348277087170822
47	0	1	2	0.03010574268651246
47	0	1	25	0.03010574268651246
47	0	1	26	0.026497248158748647
47	0	1	81	0.026497248158748647
47	0	1	96	0.026497248158748647
47	0	1	17	0.02610427636683315
47	0	1	58	0.026497248158748647
47	0	1	68	0.026497248158748647
47	0	1	79	0.010570456955774911
47	0	1	51	0.02610427636683315
47	0	1	42	0.02610427636683315
47	0	1	46	0.010570456955774911
47	0	1	80	0.009636402549373866
47	0	1	59	0.008989447380631729
47	0	1	48	0.0013261672538679306
47	0	1	91	0.001118407160903079
47	0	2	0	0.3455820322017704
47	0	2	88	0.06054373289898349
47	0	2	69	0.03535914892201173
47	0	2	2	0.03535914892201173
47	0	2	74	0.03535914892201173
47	0	2	25	0.03535914892201173
47	0	2	26	0.03535914892201173
47	0	2	81	0.03535914892201173
47	0	2	96	0.03535914892201173
47	0	2	68	0.01730456797588922
47	0	2	17	0.01730456797588922
47	0	2	46	0.01730456797588922
47	0	2	58	0.01730456797588922
47	0	2	48	0.01730456797588922
47	0	2	42	0.01730456797588922
47	0	2	51	0.01730456797588922
47	0	2	79	0.011937710439453702
47	0	2	80	0.011937710439453702
47	0	2	84	0.0029106388387151864
47	0	2	56	0.0012038739973489253
47	0	3	0	0.32931743348894876
47	0	3	88	0.05942003249496028
47	0	3	69	0.0387829419579695
47	0	3	74	0.03554923347061521
47	0	3	2	0.03168548324565769
47	0	3	25	0.03168548324565769
47	0	3	26	0.029887050943546826
47	0	3	81	0.029887050943546826
47	0	3	17	0.029887050943546826
47	0	3	68	0.029887050943546826
47	0	3	96	0.029887050943546826
47	0	3	58	0.029887050943546826
47	0	3	80	0.004938941335195146
47	0	3	51	0.029887050943546826
47	0	3	42	0.029887050943546826
47	0	3	79	0.008103680458295442
47	0	3	46	0.008103680458295442
47	0	3	31	0.008103680458295442
47	0	3	91	0.008103680458295442
47	0	3	59	0.004938941335195146
47	0	3	54	0.004938941335195146
47	0	3	56	0.004938941335195146
47	0	3	84	0.004938941335195146
47	0	3	48	0.008103680458295442
47	0	3	76	0.008103680458295442
47	0	4	0	0.3407493690132697
47	0	4	88	0.06084128366583715
47	0	4	69	0.03800673992858486
47	0	4	74	0.03800673992858486
