species,gene,lam,k,rep,error
0,3,0,3,28,200
15,4,0,3,28,200
73,6,0,3,28,200
2,6,0,3,28,200
0,13,0,3,28,200
12,16,0,3,28,200
2,17,0,3,28,200
32,17,0,3,28,200
75,18,0,3,28,200
18,18,0,3,28,200
42,18,0,3,28,200
65,18,0,3,28,200
53,18,0,3,28,200
3,18,0,3,28,200
72,18,0,3,28,200
32,20,0,3,28,200
78,21,0,3,28,200
58,21,0,3,28,200
5,21,0,3,28,200
7,26,0,3,28,200
75,27,0,3,28,200
35,27,0,3,28,200
9,27,0,3,28,200
29,27,0,3,28,200
61,30,0,3,28,200
86,30,0,3,28,200
20,30,0,3,28,200
44,32,0,3,28,200
37,32,0,3,28,200
34,33,0,3,28,200
71,38,0,3,28,200
15,39,0,3,28,200
87,39,0,3,28,200
15,40,0,3,28,200
32,41,0,3,28,200
7,44,0,3,28,200
35,45,0,3,28,200
9,46,0,3,28,200
7,48,0,3,28,200
73,52,0,3,28,200
2,52,0,3,28,200
30,53,0,3,28,200
34,54,0,3,28,200
73,58,0,3,28,200
43,60,0,3,28,200
14,63,0,3,28,200
69,63,0,3,28,200
64,63,0,3,28,200
34,64,0,3,28,200
50,65,0,3,28,200
0,66,0,3,28,200
1,66,0,3,28,200
73,66,0,3,28,200
98,66,0,3,28,200
60,66,0,3,28,200
10,66,0,3,28,200
76,66,0,3,28,200
53,67,0,3,28,200
0,68,0,3,28,200
34,70,0,3,28,200
61,73,0,3,28,200
56,73,0,3,28,200
66,73,0,3,28,200
0,75,0,3,28,200
43,75,0,3,28,200
86,80,0,3,28,200
0,81,0,3,28,200
38,85,0,3,28,200
1,85,0,3,28,200
29,85,0,3,28,200
12,88,0,3,28,200
75,88,0,3,28,200
2,88,0,3,28,200
34,88,0,3,28,200
50,88,0,3,28,200
4,89,0,3,28,200
0,90,0,3,28,200
61,93,0,3,28,200
19,93,0,3,28,200
67,93,0,3,28,200
35,93,0,3,28,200
9,93,0,3,28,200
43,93,0,3,28,200
73,94,0,3,28,200
75,94,0,3,28,200
15,94,0,3,28,200
11,94,0,3,28,200
31,94,0,3,28,200
12,95,0,3,28,200
75,95,0,3,28,200
34,95,0,3,28,200
7,96,0,3,28,200
94,96,0,3,28,200
0,98,0,3,28,200
0,3,0.00001,3,28,200
15,4,0.00001,3,28,200
73,6,0.00001,3,28,200
2,6,0.00001,3,28,200
0,13,0.00001,3,28,200
12,16,0.00001,3,28,200
2,17,0.00001,3,28,200
32,17,0.00001,3,28,200
75,18,0.00001,3,28,200
18,18,0.00001,3,28,200
42,18,0.00001,3,28,200
65,18,0.00001,3,28,200
53,18,0.00001,3,28,200
3,18,0.00001,3,28,200
72,18,0.00001,3,28,200
32,20,0.00001,3,28,200
78,21,0.00001,3,28,200
58,21,0.00001,3,28,200
5,21,0.00001,3,28,200
7,26,0.00001,3,28,200
75,27,0.00001,3,28,200
35,27,0.00001,3,28,200
9,27,0.00001,3,28,200
29,27,0.00001,3,28,200
61,30,0.00001,3,28,200
86,30,0.00001,3,28,200
20,30,0.00001,3,28,200
44,32,0.00001,3,28,200
37,32,0.00001,3,28,200
34,33,0.00001,3,28,200
15,39,0.00001,3,28,200
87,39,0.00001,3,28,200
15,40,0.00001,3,28,200
32,41,0.00001,3,28,200
7,44,0.00001,3,28,200
35,45,0.00001,3,28,200
9,46,0.00001,3,28,200
7,48,0.00001,3,28,200
73,52,0.00001,3,28,200
2,52,0.00001,3,28,200
30,53,0.00001,3,28,200
34,54,0.00001,3,28,200
73,58,0.00001,3,28,200
43,60,0.00001,3,28,200
14,63,0.00001,3,28,200
69,63,0.00001,3,28,200
64,63,0.00001,3,28,200
34,64,0.00001,3,28,200
50,65,0.00001,3,28,200
0,66,0.00001,3,28,200
1,66,0.00001,3,28,200
73,66,0.00001,3,28,200
98,66,0.00001,3,28,200
60,66,0.00001,3,28,200
10,66,0.00001,3,28,200
76,66,0.00001,3,28,200
53,67,0.00001,3,28,200
0,68,0.00001,3,28,200
34,70,0.00001,3,28,200
61,73,0.00001,3,28,200
66,73,0.00001,3,28,200
0,75,0.00001,3,28,200
43,75,0.00001,3,28,200
86,80,0.00001,3,28,200
0,81,0.00001,3,28,200
38,85,0.00001,3,28,200
1,85,0.00001,3,28,200
29,85,0.00001,3,28,200
12,88,0.00001,3,28,200
75,88,0.00001,3,28,200
2,88,0.00001,3,28,200
34,88,0.00001,3,28,200
50,88,0.00001,3,28,200
4,89,0.00001,3,28,200
0,90,0.00001,3,28,200
61,93,0.00001,3,28,200
19,93,0.00001,3,28,200
67,93,0.00001,3,28,200
35,93,0.00001,3,28,200
9,93,0.00001,3,28,200
43,93,0.00001,3,28,200
73,94,0.00001,3,28,200
75,94,0.00001,3,28,200
15,94,0.00001,3,28,200
11,94,0.00001,3,28,200
31,94,0.00001,3,28,200
12,95,0.00001,3,28,200
75,95,0.00001,3,28,200
34,95,0.00001,3,28,200
15,95,0.00001,3,28,200
7,96,0.00001,3,28,200
94,96,0.00001,3,28,200
0,98,0.00001,3,28,200
0,3,0.0001,3,28,200
15,4,0.0001,3,28,200
73,6,0.0001,3,28,200
2,6,0.0001,3,28,200
0,13,0.0001,3,28,200
12,16,0.0001,3,28,200
2,17,0.0001,3,28,200
32,17,0.0001,3,28,200
75,18,0.0001,3,28,200
18,18,0.0001,3,28,200
42,18,0.0001,3,28,200
65,18,0.0001,3,28,200
53,18,0.0001,3,28,200
3,18,0.0001,3,28,200
72,18,0.0001,3,28,200
32,20,0.0001,3,28,200
78,21,0.0001,3,28,200
58,21,0.0001,3,28,200
5,21,0.0001,3,28,200
7,26,0.0001,3,28,200
75,27,0.0001,3,28,200
35,27,0.0001,3,28,200
9,27,0.0001,3,28,200
29,27,0.0001,3,28,200
61,30,0.0001,3,28,200
86,30,0.0001,3,28,200
20,30,0.0001,3,28,200
7,31,0.0001,3,28,200
44,32,0.0001,3,28,200
37,32,0.0001,3,28,200
34,33,0.0001,3,28,200
15,39,0.0001,3,28,200
15,40,0.0001,3,28,200
32,41,0.0001,3,28,200
7,44,0.0001,3,28,200
35,45,0.0001,3,28,200
9,46,0.0001,3,28,200
7,48,0.0001,3,28,200
73,52,0.0001,3,28,200
2,52,0.0001,3,28,200
30,53,0.0001,3,28,200
34,54,0.0001,3,28,200
