species,gene,lam,k,rep,error
22,34,0.001,3,25,200
22,34,0.01,3,25,200
0,67,0.01,3,25,200
19,91,10,3,25,200
25,91,10,3,25,200
19,91,100,3,25,200
25,91,100,3,25,200
90,21,true,3,25,200
63,21,true,3,25,200
71,21,true,3,25,200
72,21,true,3,25,200
89,21,true,3,25,200
85,21,true,3,25,200
48,21,true,3,25,200
97,21,true,3,25,200
73,21,true,3,25,200
75,21,true,3,25,200
76,21,true,3,25,200
93,21,true,3,25,200
94,21,true,3,25,200
80,21,true,3,25,200
57,21,true,3,25,200
92,21,true,3,25,200
88,21,true,3,25,200
50,21,true,3,25,200
62,22,true,3,25,200
64,22,true,3,25,200
86,22,true,3,25,200
81,22,true,3,25,200
58,22,true,3,25,200
93,29,true,3,25,200
9,48,true,3,25,200
33,48,true,3,25,200
41,90,true,3,25,200
45,90,true,3,25,200
23,90,true,3,25,200
32,90,true,3,25,200
4,90,true,3,25,200
27,90,true,3,25,200
40,90,true,3,25,200
8,90,true,3,25,200
1,90,true,3,25,200
42,90,true,3,25,200
14,90,true,3,25,200
11,90,true,3,25,200
2,90,true,3,25,200
36,90,true,3,25,200
46,90,true,3,25,200
24,90,true,3,25,200
9,90,true,3,25,200
18,90,true,3,25,200
28,90,true,3,25,200
6,90,true,3,25,200
33,90,true,3,25,200
93,19,0,3,25,400
0,22,0,3,25,400
93,33,0,3,25,400
93,37,0,3,25,400
75,46,0,3,25,400
93,19,0.00001,3,25,400
0,22,0.00001,3,25,400
93,33,0.00001,3,25,400
93,37,0.00001,3,25,400
75,46,0.00001,3,25,400
93,19,0.0001,3,25,400
0,22,0.0001,3,25,400
93,33,0.0001,3,25,400
88,37,0.0001,3,25,400
93,37,0.0001,3,25,400
0,44,0.0001,3,25,400
75,46,0.0001,3,25,400
93,19,0.001,3,25,400
6,35,0.001,3,25,400
0,44,0.001,3,25,400
29,35,0.01,3,25,400
6,35,0.01,3,25,400
30,72,0.01,3,25,400
38,35,1,3,25,400
22,35,1,3,25,400
0,35,1,3,25,400
0,68,1,3,25,400
0,87,1,3,25,400
75,3,true,3,25,400
76,3,true,3,25,400
73,3,true,3,25,400
97,3,true,3,25,400
11,7,true,3,25,400
18,7,true,3,25,400
7,14,true,3,25,400
33,49,true,3,25,400
35,74,true,3,25,400
10,74,true,3,25,400
21,74,true,3,25,400
41,87,true,3,25,400
15,87,true,3,25,400
3,87,true,3,25,400
9,87,true,3,25,400
12,87,true,3,25,400
43,87,true,3,25,400
20,87,true,3,25,400
24,87,true,3,25,400
38,87,true,3,25,400
29,87,true,3,25,400
22,87,true,3,25,400
11,87,true,3,25,400
30,87,true,3,25,400
8,87,true,3,25,400
1,87,true,3,25,400
4,87,true,3,25,400
27,87,true,3,25,400
40,87,true,3,25,400
42,87,true,3,25,400
14,87,true,3,25,400
44,87,true,3,25,400
26,87,true,3,25,400
45,87,true,3,25,400
88,87,true,3,25,400
34,87,true,3,25,400
31,87,true,3,25,400
33,87,true,3,25,400
5,87,true,3,25,400
93,87,true,3,25,400
41,91,true,3,25,400
9,91,true,3,25,400
24,91,true,3,25,400
11,91,true,3,25,400
8,91,true,3,25,400
1,91,true,3,25,400
4,91,true,3,25,400
27,91,true,3,25,400
40,91,true,3,25,400
42,91,true,3,25,400
14,91,true,3,25,400
18,91,true,3,25,400
2,91,true,3,25,400
36,91,true,3,25,400
23,91,true,3,25,400
32,91,true,3,25,400
28,91,true,3,25,400
45,91,true,3,25,400
33,91,true,3,25,400
46,91,true,3,25,400
6,91,true,3,25,400
58,2,0,3,25,800
86,3,0,3,25,800
54,3,0,3,25,800
81,3,0,3,25,800
51,3,0,3,25,800
0,14,0,3,25,800
64,15,0,3,25,800
22,22,0,3,25,800
86,26,0,3,25,800
51,26,0,3,25,800
93,33,0,3,25,800
54,34,0,3,25,800
51,34,0,3,25,800
62,34,0,3,25,800
64,67,0,3,25,800
54,72,0,3,25,800
3,72,0,3,25,800
48,80,0,3,25,800
58,2,0.00001,3,25,800
86,3,0.00001,3,25,800
54,3,0.00001,3,25,800
81,3,0.00001,3,25,800
58,3,0.00001,3,25,800
51,3,0.00001,3,25,800
62,3,0.00001,3,25,800
0,14,0.00001,3,25,800
64,15,0.00001,3,25,800
22,22,0.00001,3,25,800
51,26,0.00001,3,25,800
51,34,0.00001,3,25,800
64,67,0.00001,3,25,800
54,72,0.00001,3,25,800
3,72,0.00001,3,25,800
48,80,0.00001,3,25,800
58,2,0.0001,3,25,800
86,3,0.0001,3,25,800
54,3,0.0001,3,25,800
81,3,0.0001,3,25,800
58,3,0.0001,3,25,800
51,3,0.0001,3,25,800
62,3,0.0001,3,25,800
0,14,0.0001,3,25,800
64,15,0.0001,3,25,800
64,67,0.0001,3,25,800
3,72,0.0001,3,25,800
86,3,0.001,3,25,800
81,3,0.001,3,25,800
43,3,0.001,3,25,800
27,58,0.001,3,25,800
0,35,0.1,3,25,800
0,40,0.1,3,25,800
0,58,0.1,3,25,800
0,69,0.1,3,25,800
0,88,0.1,3,25,800
0,35,1,3,25,800
0,69,1,3,25,800
0,88,1,3,25,800
35,7,true,3,25,800
10,7,true,3,25,800
21,7,true,3,25,800
18,7,true,3,25,800
11,7,true,3,25,800
9,88,true,3,25,800
38,88,true,3,25,800
29,88,true,3,25,800
22,88,true,3,25,800
24,88,true,3,25,800
20,88,true,3,25,800
45,88,true,3,25,800
31,88,true,3,25,800
35,88,true,3,25,800
10,88,true,3,25,800
21,88,true,3,25,800
4,88,true,3,25,800
40,88,true,3,25,800
27,88,true,3,25,800
42,88,true,3,25,800
14,88,true,3,25,800
8,88,true,3,25,800
1,88,true,3,25,800
88,88,true,3,25,800
5,88,true,3,25,800
93,88,true,3,25,800
12,88,true,3,25,800
43,88,true,3,25,800
41,88,true,3,25,800
34,88,true,3,25,800
11,88,true,3,25,800
30,88,true,3,25,800
44,88,true,3,25,800
26,88,true,3,25,800
15,88,true,3,25,800
33,88,true,3,25,800
3,88,true,3,25,800
9,92,true,3,25,800
24,92,true,3,25,800
45,92,true,3,25,800
4,92,true,3,25,800
40,92,true,3,25,800
27,92,true,3,25,800
42,92,true,3,25,800
14,92,true,3,25,800
8,92,true,3,25,800
1,92,true,3,25,800
46,92,true,3,25,800
18,92,true,3,25,800
41,92,true,3,25,800
6,92,true,3,25,800
11,92,true,3,25,800
33,92,true,3,25,800
2,92,true,3,25,800
36,92,true,3,25,800
58,2,0,3,25,1600
12,3,0,3,25,1600
0,12,0,3,25,1600
88,33,0,3,25,1600
93,33,0,3,25,1600
15,34,0,3,25,1600
3,34,0,3,25,1600
93,42,0,3,25,1600
15,44,0,3,25,1600
12,44,0,3,25,1600
26,44,0,3,25,1600
12,55,0,3,25,1600
43,55,0,3,25,1600
38,55,0,3,25,1600
22,55,0,3,25,1600
93,64,0,3,25,1600
20,68,0,3,25,1600
24,75,0,3,25,1600
20,75,0,3,25,1600
93,83,0,3,25,1600
58,2,0.00001,3,25,1600
93,3,0.00001,3,25,1600
12,3,0.00001,3,25,1600
0,12,0.00001,3,25,1600
88,33,0.00001,3,25,1600
93,33,0.00001,3,25,1600
15,34,0.00001,3,25,1600
3,34,0.00001,3,25,1600
93,42,0.00001,3,25,1600
15,44,0.00001,3,25,1600
12,44,0.00001,3,25,1600
26,44,0.00001,3,25,1600
12,55,0.00001,3,25,1600
43,55,0.00001,3,25,1600
38,55,0.00001,3,25,1600
22,55,0.00001,3,25,1600
0,57,0.00001,3,25,1600
93,64,0.00001,3,25,1600
20,68,0.00001,3,25,1600
24,75,0.00001,3,25,1600
20,75,0.00001,3,25,1600
93,83,0.00001,3,25,1600
58,2,0.0001,3,25,1600
93,3,0.0001,3,25,1600
48,3,0.0001,3,25,1600
12,3,0.0001,3,25,1600
88,33,0.0001,3,25,1600
93,33,0.0001,3,25,1600
15,34,0.0001,3,25,1600
15,44,0.0001,3,25,1600
43,44,0.0001,3,25,1600
26,44,0.0001,3,25,1600
12,55,0.0001,3,25,1600
43,55,0.0001,3,25,1600
38,55,0.0001,3,25,1600
22,55,0.0001,3,25,1600
0,64,0.0001,3,25,1600
93,64,0.0001,3,25,1600
24,75,0.0001,3,25,1600
20,75,0.0001,3,25,1600
93,83,0.0001,3,25,1600
48,3,0.001,3,25,1600
12,3,0.001,3,25,1600
26,44,0.001,3,25,1600
43,55,0.001,3,25,1600
38,55,0.001,3,25,1600
22,55,0.001,3,25,1600
24,75,0.001,3,25,1600
58,2,0.01,3,25,1600
0,68,0.01,3,25,1600
9,68,0.01,3,25,1600
34,68,0.01,3,25,1600
5,68,0.01,3,25,1600
0,68,0.1,3,25,1600
0,87,0.1,3,25,1600
0,68,1,3,25,1600
0,87,1,3,25,1600
11,87,true,3,25,1600
88,87,true,3,25,1600
93,87,true,3,25,1600
35,87,true,3,25,1600
10,87,true,3,25,1600
21,87,true,3,25,1600
9,87,true,3,25,1600
15,87,true,3,25,1600
31,87,true,3,25,1600
34,87,true,3,25,1600
5,87,true,3,25,1600
12,87,true,3,25,1600
43,87,true,3,25,1600
3,87,true,3,25,1600
30,87,true,3,25,1600
44,87,true,3,25,1600
26,87,true,3,25,1600
1,87,true,3,25,1600
45,87,true,3,25,1600
33,87,true,3,25,1600
41,87,true,3,25,1600
24,87,true,3,25,1600
20,87,true,3,25,1600
38,87,true,3,25,1600
22,87,true,3,25,1600
29,87,true,3,25,1600
11,91,true,3,25,1600
9,91,true,3,25,1600
46,91,true,3,25,1600
18,91,true,3,25,1600
45,91,true,3,25,1600
33,91,true,3,25,1600
41,91,true,3,25,1600
24,91,true,3,25,1600
