gene                 rate

Matrix 1             0.771604945743
Matrix 2             1.03613447429
Matrix 3             0.547002822528
Matrix 4             0.511561693921
Matrix 5             1.52094594621
Matrix 6             1.06951215552
Matrix 7             0.807739928487
Matrix 8             1.15350498398
Matrix 9             0.786104037619
Matrix 10            1.43827238728
Matrix 11            1.68346290847
Matrix 12            1.27182645432
Matrix 13            0.928564216898
Matrix 14            0.681025382605
Matrix 15            1.15602882571
Matrix 16            0.622112285372
Matrix 17            1.00413564183
Matrix 18            1.53764125748
Matrix 19            1.24647443079
Matrix 20            0.707398333806
Matrix 21            0.630937385977
Matrix 22            0.568714135581
Matrix 23            0.972743149003
Matrix 24            1.12172049833
Matrix 25            1.08229203227
Matrix 26            0.592013356843
Matrix 27            1.27064569289
Matrix 28            0.763817733539
Matrix 29            0.680091777642
Matrix 30            1.09492371544
Matrix 31            0.780111702325
Matrix 32            1.50609539305
Matrix 33            0.780283697799
Matrix 34            1.76244411021
Matrix 35            0.718927253212
Matrix 36            1.10865724468
Matrix 37            0.478290190062
Matrix 38            1.40896017945
Matrix 39            0.70962885831
Matrix 40            0.410237135253
Matrix 41            0.75263960899
Matrix 42            1.30442882209
Matrix 43            0.71767881104
Matrix 44            1.33417383908
Matrix 45            0.875044268244
Matrix 46            0.547210735047
Matrix 47            0.639431938128
Matrix 48            0.515276638309
Matrix 49            0.638331883411
Matrix 50            0.848620674791
Matrix 51            0.590810446395
Matrix 52            0.839774202678
Matrix 53            0.793404103282
Matrix 54            0.427257687648
Matrix 55            0.695975718738
Matrix 56            0.671413545177
Matrix 57            0.631064459618
Matrix 58            0.824360091143
Matrix 59            0.615049035824
Matrix 60            0.800408574739
Matrix 61            0.717593273683
Matrix 62            1.68173596139
Matrix 63            2.18579813622
Matrix 64            0.99829571297
Matrix 65            1.35392420034
Matrix 66            1.26708451243
Matrix 67            1.05846783233
Matrix 68            2.30534680724
Matrix 69            0.330512447887
Matrix 70            1.6074378289
Matrix 71            1.75707213835
Matrix 72            1.3133974673
Matrix 73            0.568060928674
Matrix 74            1.20745077385
Matrix 75            0.369294549377
Matrix 76            1.11877538853
Matrix 77            0.572930147271
Matrix 78            1.19484963819
Matrix 79            0.737112682323
Matrix 80            0.2782107857
Matrix 81            1.00178728755
Matrix 82            1.12354943471
Matrix 83            0.835551024737
Matrix 84            1.32764057558
Matrix 85            0.930369218094
Matrix 86            1.58911151474
Matrix 87            0.605534777372
Matrix 88            1.51823307647
Matrix 89            1.16744726689
Matrix 90            1.24068280927
Matrix 91            0.776488634861
Matrix 92            1.08880530627
Matrix 93            1.1036313868
Matrix 94            0.473821306268
Matrix 95            0.941273158717
Matrix 96            1.35222009974
Matrix 97            0.601777174182
Matrix 98            0.931388742393
Matrix 99            1.06654656744
Matrix 100           0.950845150788
Matrix 101           0.816914676899
Matrix 102           0.822559797673
Matrix 103           0.677644206478
Matrix 104           1.70739756374
Matrix 105           1.44512199782
Matrix 106           2.18071679032
Matrix 107           1.55384062394
Matrix 108           0.945078592317
Matrix 109           0.4442413175
Matrix 110           1.11771575951
Matrix 111           1.84891260506
Matrix 112           1.43025592042
Matrix 113           1.39333808856
Matrix 114           0.610598334829
Matrix 115           1.05410197728
Matrix 116           0.962674154259
Matrix 117           0.294143629767
Matrix 118           1.08192936341
Matrix 119           0.958549997678
Matrix 120           1.19172871101
Matrix 121           0.738628632916
Matrix 122           1.68638657252
Matrix 123           0.930008471135
Matrix 124           0.776990938322
Matrix 125           0.914805300264
Matrix 126           2.07443975702
Matrix 127           0.88798106284
Matrix 128           0.942686128589
Matrix 129           0.966270646624
Matrix 130           0.629082711173
Matrix 131           1.48279156644
Matrix 132           1.27937313534
Matrix 133           1.7732394466
Matrix 134           1.26765116282
Matrix 135           0.582743711203
Matrix 136           1.16371577501
Matrix 137           0.779513258475
Matrix 138           1.45270554552
Matrix 139           1.49055907659
Matrix 140           1.43284578124
Matrix 141           1.56168359595
Matrix 142           0.940235921246
Matrix 143           1.30894253807
Matrix 144           0.544427801161
Matrix 145           0.491317929325
Matrix 146           1.09449070758
Matrix 147           0.484917820022
Matrix 148           0.97426345336
Matrix 149           1.38529663067
Matrix 150           1.65174074653
Matrix 151           0.807551831669
Matrix 152           0.546403325444
Matrix 153           1.3950593216
Matrix 154           0.778400526169
Matrix 155           0.602252729297
Matrix 156           0.599139414005
Matrix 157           1.2519770987
Matrix 158           0.431409262439
Matrix 159           1.0450445463
Matrix 160           0.69138871793
Matrix 161           0.737438699452
Matrix 162           1.86462271535
Matrix 163           1.11588021245
Matrix 164           1.24643210494
Matrix 165           0.592473602412
Matrix 166           0.346560956395
Matrix 167           0.753533790952
Matrix 168           0.96859744084
Matrix 169           1.39551264985
Matrix 170           0.931598196839
Matrix 171           1.15518674674
Matrix 172           0.669559557429
Matrix 173           1.24591421803
Matrix 174           0.9129050441
Matrix 175           0.632529988104
Matrix 176           0.815408222606
Matrix 177           1.41265769032
Matrix 178           0.522911851503
Matrix 179           1.19256475393
Matrix 180           0.713680537242
Matrix 181           1.03873178021
Matrix 182           1.46906494398
Matrix 183           1.45073034663
Matrix 184           1.3532426219
Matrix 185           1.68365314069
Matrix 186           1.48854912143
Matrix 187           0.761215964821
Matrix 188           1.05845161968
Matrix 189           0.90541180686
Matrix 190           0.792936934528
Matrix 191           0.894465884151
Matrix 192           0.98641783103
Matrix 193           1.22010700732
Matrix 194           0.992630163881
Matrix 195           1.06429561758
Matrix 196           1.19601878223
Matrix 197           0.791789208431
Matrix 198           0.767772967709
Matrix 199           1.39247362222
Matrix 200           0.740735446262
Matrix 201           0.841797168928
Matrix 202           1.12937979262
Matrix 203           1.84946349225
