species,gene,lam,k,rep,error
52,1,0,3,01,200
76,4,0,3,01,200
34,4,0,3,01,200
96,4,0,3,01,200
24,5,0,3,01,200
16,5,0,3,01,200
1,5,0,3,01,200
34,6,0,3,01,200
18,8,0,3,01,200
10,9,0,3,01,200
0,10,0,3,01,200
56,10,0,3,01,200
48,12,0,3,01,200
85,12,0,3,01,200
65,13,0,3,01,200
75,15,0,3,01,200
73,15,0,3,01,200
77,15,0,3,01,200
72,16,0,3,01,200
65,16,0,3,01,200
18,16,0,3,01,200
32,17,0,3,01,200
70,17,0,3,01,200
8,17,0,3,01,200
67,17,0,3,01,200
54,17,0,3,01,200
11,17,0,3,01,200
62,17,0,3,01,200
37,17,0,3,01,200
47,17,0,3,01,200
53,17,0,3,01,200
13,18,0,3,01,200
4,18,0,3,01,200
72,20,0,3,01,200
0,28,0,3,01,200
76,28,0,3,01,200
75,30,0,3,01,200
73,30,0,3,01,200
77,30,0,3,01,200
13,32,0,3,01,200
4,32,0,3,01,200
19,32,0,3,01,200
52,33,0,3,01,200
23,33,0,3,01,200
11,33,0,3,01,200
62,33,0,3,01,200
37,33,0,3,01,200
47,33,0,3,01,200
53,33,0,3,01,200
18,36,0,3,01,200
29,36,0,3,01,200
26,36,0,3,01,200
11,36,0,3,01,200
62,36,0,3,01,200
37,36,0,3,01,200
42,37,0,3,01,200
56,37,0,3,01,200
32,38,0,3,01,200
92,38,0,3,01,200
99,38,0,3,01,200
96,38,0,3,01,200
78,38,0,3,01,200
76,41,0,3,01,200
76,42,0,3,01,200
75,42,0,3,01,200
73,42,0,3,01,200
77,42,0,3,01,200
65,43,0,3,01,200
72,46,0,3,01,200
65,46,0,3,01,200
18,46,0,3,01,200
1,46,0,3,01,200
49,46,0,3,01,200
21,46,0,3,01,200
62,46,0,3,01,200
37,46,0,3,01,200
32,47,0,3,01,200
65,47,0,3,01,200
18,47,0,3,01,200
52,53,0,3,01,200
11,53,0,3,01,200
72,55,0,3,01,200
16,55,0,3,01,200
56,55,0,3,01,200
1,55,0,3,01,200
92,57,0,3,01,200
78,57,0,3,01,200
99,58,0,3,01,200
72,59,0,3,01,200
72,62,0,3,01,200
27,64,0,3,01,200
52,68,0,3,01,200
11,68,0,3,01,200
62,68,0,3,01,200
37,68,0,3,01,200
47,68,0,3,01,200
53,68,0,3,01,200
0,69,0,3,01,200
13,69,0,3,01,200
4,69,0,3,01,200
24,71,0,3,01,200
16,71,0,3,01,200
56,71,0,3,01,200
1,71,0,3,01,200
11,71,0,3,01,200
62,71,0,3,01,200
37,71,0,3,01,200
47,71,0,3,01,200
53,71,0,3,01,200
52,73,0,3,01,200
59,73,0,3,01,200
11,73,0,3,01,200
62,73,0,3,01,200
37,73,0,3,01,200
47,73,0,3,01,200
53,73,0,3,01,200
27,73,0,3,01,200
47,74,0,3,01,200
18,77,0,3,01,200
15,79,0,3,01,200
29,79,0,3,01,200
26,79,0,3,01,200
2,79,0,3,01,200
54,79,0,3,01,200
0,82,0,3,01,200
76,82,0,3,01,200
81,82,0,3,01,200
34,82,0,3,01,200
36,82,0,3,01,200
19,82,0,3,01,200
98,83,0,3,01,200
36,84,0,3,01,200
52,87,0,3,01,200
18,87,0,3,01,200
11,87,0,3,01,200
