gene                 rate

Matrix 1             0.644550600809
Matrix 2             0.400411884539
Matrix 3             2.00118387856
Matrix 4             0.417103797255
Matrix 5             1.41734644348
Matrix 6             0.776991350868
Matrix 7             1.10583670032
Matrix 8             0.661678956609
Matrix 9             0.156626988175
Matrix 10            0.54085757044
Matrix 11            1.0831839511
Matrix 12            1.82046458341
Matrix 13            1.20821607231
Matrix 14            2.78960099501
Matrix 15            0.441991382267
Matrix 16            1.26844874095
Matrix 17            1.50948139961
Matrix 18            0.999214254476
Matrix 19            0.703160872941
Matrix 20            0.99955712442
Matrix 21            1.12167215447
Matrix 22            0.725972106652
Matrix 23            2.54157713377
Matrix 24            0.609726667167
Matrix 25            1.40758248872
Matrix 26            0.419966698345
Matrix 27            0.810663718976
Matrix 28            1.32510205267
Matrix 29            0.523980934546
Matrix 30            1.23084966181
Matrix 31            1.56226449909
Matrix 32            0.589286901556
Matrix 33            0.431102210486
Matrix 34            1.04983622919
Matrix 35            0.663219413511
Matrix 36            1.19980149695
Matrix 37            1.36188097042
Matrix 38            0.687343072644
Matrix 39            1.09761523392
Matrix 40            0.179917213829
Matrix 41            0.97004903948
Matrix 42            0.633873072705
Matrix 43            1.01664347356
Matrix 44            1.23690967169
Matrix 45            1.75480904075
Matrix 46            0.915807778914
Matrix 47            1.19573094228
Matrix 48            1.4779904586
Matrix 49            1.23034643416
Matrix 50            0.439159256788
Matrix 51            0.523652795999
Matrix 52            0.93768068137
Matrix 53            0.417418298276
Matrix 54            1.25930088213
Matrix 55            1.22292852288
Matrix 56            0.552498244362
Matrix 57            0.604725590424
Matrix 58            1.5596111431
Matrix 59            1.45012135761
Matrix 60            1.57597462645
Matrix 61            1.14638965802
Matrix 62            0.78817367013
Matrix 63            0.993277187247
Matrix 64            1.190229598
Matrix 65            0.596777938194
Matrix 66            0.93371274078
Matrix 67            0.628414706344
Matrix 68            0.913883737236
Matrix 69            0.78011324123
Matrix 70            0.511272899452
Matrix 71            0.458936357973
Matrix 72            0.889676382033
Matrix 73            0.447400057334
Matrix 74            1.51844977075
Matrix 75            2.21425472765
Matrix 76            0.396928624236
Matrix 77            0.604318085651
Matrix 78            0.863783684999
Matrix 79            1.85492352461
Matrix 80            0.695677247673
Matrix 81            1.3490537144
Matrix 82            0.158036556998
Matrix 83            1.03584968267
Matrix 84            0.391413116943
Matrix 85            1.4634272101
Matrix 86            1.66462677086
Matrix 87            1.16314987668
Matrix 88            1.69803552499
Matrix 89            1.12361114667
Matrix 90            2.88897529493
Matrix 91            0.443200027624
Matrix 92            0.561961884126
Matrix 93            2.18178519357
Matrix 94            1.26700849252
Matrix 95            0.613272375504
Matrix 96            0.778107483309
Matrix 97            0.94086668085
Matrix 98            0.421332067165
Matrix 99            0.934667400512
Matrix 100           1.67464341537
Matrix 101           1.2235550581
Matrix 102           2.267107111
Matrix 103           3.89588573694
Matrix 104           1.19388918562
Matrix 105           2.03369722171
Matrix 106           1.19384889056
Matrix 107           0.933076368976
Matrix 108           1.69564414164
Matrix 109           0.126707890759
Matrix 110           1.16359272503
Matrix 111           0.895032263717
Matrix 112           1.27517423864
Matrix 113           0.274280119427
Matrix 114           1.07069118462
Matrix 115           0.700946666736
Matrix 116           0.97527166869
Matrix 117           0.412702973529
Matrix 118           0.977183797608
Matrix 119           1.15840441843
Matrix 120           0.690692620398
Matrix 121           0.417914950298
Matrix 122           0.754434477413
Matrix 123           1.45726613575
Matrix 124           0.975910060975
Matrix 125           1.1460192518
Matrix 126           0.402645539134
Matrix 127           1.79619954705
Matrix 128           0.961789323733
Matrix 129           1.1497572433
Matrix 130           1.83207338219
Matrix 131           0.73108646615
Matrix 132           1.03605664947
Matrix 133           0.351537754906
Matrix 134           0.764312950897
Matrix 135           0.416848126036
Matrix 136           0.536494690175
Matrix 137           0.478030653242
Matrix 138           1.32745083047
Matrix 139           0.675944245557
Matrix 140           0.696272200519
Matrix 141           0.919840998969
Matrix 142           0.660400431971
Matrix 143           0.631793706232
Matrix 144           0.800890634518
Matrix 145           1.08058483483
Matrix 146           1.62055964068
Matrix 147           0.787818919695
Matrix 148           0.743973476413
Matrix 149           0.321109685424
Matrix 150           0.905339701165
Matrix 151           0.58719412139
Matrix 152           1.1788096119
Matrix 153           0.337711539749
Matrix 154           0.684052706303
Matrix 155           1.19889343677
Matrix 156           0.859304425874
Matrix 157           1.84550959478
Matrix 158           0.148240169193
Matrix 159           1.26523050863
Matrix 160           1.10490069408
Matrix 161           0.937522829443
Matrix 162           1.77350780332
Matrix 163           1.42730558332
Matrix 164           1.17477731443
Matrix 165           1.20389345822
Matrix 166           0.766488876372
Matrix 167           1.26456828751
Matrix 168           2.26546381104
Matrix 169           0.676588292069
Matrix 170           0.466090248939
Matrix 171           0.715452653707
Matrix 172           0.857848953839
Matrix 173           0.866452568244
Matrix 174           0.413859519606
Matrix 175           1.02346440341
Matrix 176           1.48425498406
Matrix 177           0.796350994002
Matrix 178           0.294611150892
Matrix 179           1.32312279607
Matrix 180           0.688178019229
Matrix 181           1.08558596708
Matrix 182           0.573387831046
Matrix 183           1.13888719127
Matrix 184           1.2020624824
Matrix 185           1.83053846017
Matrix 186           1.23252146951
Matrix 187           1.02485349038
Matrix 188           1.47719182323
Matrix 189           0.850040790058
Matrix 190           0.833433541643
Matrix 191           0.900771312074
Matrix 192           0.927061382201
Matrix 193           0.518356081757
Matrix 194           2.84492024655
Matrix 195           0.202889168734
Matrix 196           1.0741130148
Matrix 197           0.851578280655
Matrix 198           1.06736906405
Matrix 199           0.272687141096
Matrix 200           0.560167852781
Matrix 201           0.984989590947
Matrix 202           0.512145061699
Matrix 203           0.803152038815
Matrix 204           1.33524721915
Matrix 205           0.394797448756
Matrix 206           0.84238573289
Matrix 207           0.749453927722
Matrix 208           0.639676548062
Matrix 209           0.716974019037
Matrix 210           1.7878947735
Matrix 211           0.198712234493
Matrix 212           0.384742163229
Matrix 213           0.584120381072
Matrix 214           0.55424690888
Matrix 215           0.809105783852
Matrix 216           0.514836893063
Matrix 217           0.316584283164
Matrix 218           0.429030253701
Matrix 219           0.619855931172
Matrix 220           1.21470033954
Matrix 221           0.506887881169
Matrix 222           1.82459245998
Matrix 223           0.279998420764
Matrix 224           1.29647569256
Matrix 225           0.7498858455
Matrix 226           0.411410878558
Matrix 227           1.72724126568
Matrix 228           1.48705976731
Matrix 229           0.333081895127
Matrix 230           0.450223161382
Matrix 231           0.750031745623
Matrix 232           0.934138850561
Matrix 233           0.441852594471
Matrix 234           0.785231987148
Matrix 235           0.506675760688
Matrix 236           0.585443517451
Matrix 237           0.338880669046
Matrix 238           1.6381533313
Matrix 239           1.5903398539
Matrix 240           0.367506381041
Matrix 241           0.611545067553
Matrix 242           0.813210036066
Matrix 243           0.502533505889
Matrix 244           1.07044178221
Matrix 245           0.847280863965
Matrix 246           0.43605607597
Matrix 247           1.33378918463
Matrix 248           0.444357241673
Matrix 249           0.268892365766
Matrix 250           0.712989223389
Matrix 251           0.211857142077
Matrix 252           0.788611132999
Matrix 253           1.38583657801
Matrix 254           0.811300446846
Matrix 255           1.3271175817
Matrix 256           0.56017322142
Matrix 257           0.360207642626
Matrix 258           0.508221962142
Matrix 259           0.215076658169
Matrix 260           1.14913907129
Matrix 261           0.440366072559
Matrix 262           1.22498408556
Matrix 263           0.494715229266
Matrix 264           0.977697855207
Matrix 265           0.267744189244
Matrix 266           0.520233298947
Matrix 267           0.739266868537
Matrix 268           0.670931426423
Matrix 269           0.551280043477
Matrix 270           1.05091818656
Matrix 271           2.65792460377
Matrix 272           1.10744805921
Matrix 273           1.18227649492
Matrix 274           0.670367770127
Matrix 275           0.382432048474
Matrix 276           0.633952176616
Matrix 277           1.30666706439
Matrix 278           0.582641899388
Matrix 279           1.29066354367
Matrix 280           1.79734189807
Matrix 281           1.18683623199
Matrix 282           1.21542924115
Matrix 283           0.727915846614
Matrix 284           0.893556689788
Matrix 285           0.494705371857
Matrix 286           0.590840335387
Matrix 287           1.71515737314
Matrix 288           0.400636342576
Matrix 289           0.681272589216
Matrix 290           0.556364188161
Matrix 291           0.501233404089
Matrix 292           0.670311843847
Matrix 293           0.55842114005
Matrix 294           0.892978722573
Matrix 295           0.898203543809
Matrix 296           0.624383039376
Matrix 297           0.8567974326
Matrix 298           0.773961481881
Matrix 299           0.156488805197
Matrix 300           0.708718254124
Matrix 301           0.998645102971
Matrix 302           1.12842979014
Matrix 303           0.955600441569
Matrix 304           0.456829078318
Matrix 305           0.44013638575
Matrix 306           1.60755617145
Matrix 307           0.612440321983
Matrix 308           0.637791039449
Matrix 309           1.90578156047
Matrix 310           0.337705226649
Matrix 311           1.73702508189
Matrix 312           0.4352615969
Matrix 313           0.779127564855
Matrix 314           0.763818060299
Matrix 315           1.67299217841
Matrix 316           0.31702831369
Matrix 317           0.966544336348
Matrix 318           0.76786603893
Matrix 319           0.965026445553
Matrix 320           0.22709327378
Matrix 321           2.02477832901
Matrix 322           0.55892329334
Matrix 323           0.89256561465
Matrix 324           0.424294020552
Matrix 325           1.68168032582
Matrix 326           1.88951008759
Matrix 327           1.92324790822
Matrix 328           0.833480679217
Matrix 329           0.623277002489
Matrix 330           0.426453281119
Matrix 331           0.558822560946
Matrix 332           1.18827396416
Matrix 333           0.329402206853
Matrix 334           0.72471517607
Matrix 335           0.760976298039
Matrix 336           1.04930295407
Matrix 337           0.936779920075
Matrix 338           0.959147339944
Matrix 339           1.06156363933
Matrix 340           0.541246288195
Matrix 341           1.3665065991
Matrix 342           0.981543678023
Matrix 343           0.786978639955
Matrix 344           1.2864930599
Matrix 345           1.11798683556
Matrix 346           0.486515413107
Matrix 347           0.840593831203
Matrix 348           1.52439365814
Matrix 349           0.299492307623
Matrix 350           0.140197995286
Matrix 351           0.810139252629
Matrix 352           1.08145428808
Matrix 353           1.44350841328
Matrix 354           0.624258159345
Matrix 355           0.794422034596
Matrix 356           0.454547355959
Matrix 357           0.242995191866
Matrix 358           1.22930617182
Matrix 359           0.892529907559
Matrix 360           0.845646412581
Matrix 361           2.1851435085
Matrix 362           0.598647487881
Matrix 363           1.69324999156
Matrix 364           0.684926454166
Matrix 365           1.12925418185
Matrix 366           0.713400297813
Matrix 367           1.79334113418
Matrix 368           0.387965918379
Matrix 369           0.902595576182
Matrix 370           0.544693845216
Matrix 371           1.86521111113
Matrix 372           1.17669906346
Matrix 373           1.18535149181
Matrix 374           0.559979797751
Matrix 375           0.927255328552
Matrix 376           0.143083215851
Matrix 377           0.644502963934
Matrix 378           0.497412470217
Matrix 379           0.320070684041
Matrix 380           0.982687608062
Matrix 381           0.799677672093
Matrix 382           1.48986478826
Matrix 383           0.594684235699
Matrix 384           0.759661617846
Matrix 385           0.362866488294
Matrix 386           0.568209291879
Matrix 387           0.798972527288
Matrix 388           0.226963688754
Matrix 389           1.64570969995
Matrix 390           1.19838829596
Matrix 391           2.61404284391
Matrix 392           0.845938364154
Matrix 393           1.06637007595
Matrix 394           1.13492983537
Matrix 395           0.681984702248
Matrix 396           0.44569983132
Matrix 397           0.924894096832
Matrix 398           1.24561016732
Matrix 399           0.37747991033
Matrix 400           0.426410198187
Matrix 401           1.19534728772
Matrix 402           0.46894811639
Matrix 403           0.54895200766
Matrix 404           0.58222288365
Matrix 405           1.12716656662
Matrix 406           0.943073127692
Matrix 407           0.723337914863
Matrix 408           0.533068303983
Matrix 409           0.425566873083
Matrix 410           0.457702510546
Matrix 411           0.816312797247
Matrix 412           0.460276831384
Matrix 413           0.5385760938
Matrix 414           1.01721196816
Matrix 415           2.01611428441
Matrix 416           0.758382977043
Matrix 417           0.792736577761
Matrix 418           0.34036853313
Matrix 419           0.72807700349
Matrix 420           1.1236708212
Matrix 421           0.419265366557
Matrix 422           1.15892291475
Matrix 423           0.664162704474
Matrix 424           0.46493634538
Matrix 425           0.709567728003
Matrix 426           1.51672255243
Matrix 427           1.18500469122
Matrix 428           1.38616304075
Matrix 429           0.403637664198
Matrix 430           0.661571696065
Matrix 431           0.542643056318
Matrix 432           0.67212773732
Matrix 433           0.850056573138
Matrix 434           3.24566911956
Matrix 435           0.470722635284
Matrix 436           0.607540482798
Matrix 437           0.278153749965
Matrix 438           0.52031920208
Matrix 439           0.947849728194
Matrix 440           1.92764776804
Matrix 441           0.506616114903
Matrix 442           1.21761142238
Matrix 443           1.07018540458
Matrix 444           0.331196194073
Matrix 445           0.894680656264
Matrix 446           0.499898691153
Matrix 447           1.32725109869
Matrix 448           0.601832686141
Matrix 449           0.329844145398
Matrix 450           1.36362053662
Matrix 451           0.747742320029
Matrix 452           0.377041955525
Matrix 453           1.21977044889
Matrix 454           0.559547843618
Matrix 455           0.687512465127
Matrix 456           2.0894267905
Matrix 457           0.917687041092
Matrix 458           1.35658927266
Matrix 459           4.21923526102
Matrix 460           1.37517050261
Matrix 461           0.520265802987
Matrix 462           2.17448841632
Matrix 463           2.79554975314
Matrix 464           0.57738987549
Matrix 465           0.734458489378
Matrix 466           1.56191678008
Matrix 467           3.15980866679
Matrix 468           0.771619243324
Matrix 469           1.01519711825
Matrix 470           0.185582733138
Matrix 471           1.33115427554
