species,gene,lam,k
Acropora_digitifera,119,0,3
Acropora_digitifera,18,0,3
Acropora_digitifera,78,0,3
Acropora_digitifera,87,0,3
Adineta_ricciae,143,0,3
Adineta_ricciae,192,0,3
Adineta_ricciae,60,0,3
Adineta_vaga,192,0,3
Adineta_vaga,60,0,3
Adineta_vaga,89,0,3
Agalma_elegans,172,0,3
Amphimedon_queenslandica,85,0,3
Aphrocallistes_vastus,122,0,3
Aphrocallistes_vastus,130,0,3
Aphrocallistes_vastus,155,0,3
Aphrocallistes_vastus,159,0,3
Aphrocallistes_vastus,33,0,3
Aphrocallistes_vastus,36,0,3
Aphrocallistes_vastus,40,0,3
Aphrocallistes_vastus,63,0,3
Aphrocallistes_vastus,70,0,3
Ascoparia_sp,157,0,3
Ascoparia_sp,160,0,3
Ascoparia_sp,23,0,3
Astrotomma_agassizi,159,0,3
Astrotomma_agassizi,168,0,3
Astrotomma_agassizi,190,0,3
Barentsia_gracilis,184,0,3
Barentsia_gracilis,56,0,3
Barentsia_gracilis,86,0,3
Barentsia_gracilis,87,0,3
Botryllus_schlosseri,107,0,3
Botryllus_schlosseri,116,0,3
Brachionus_calyciflorus,137,0,3
Brachionus_calyciflorus,94,0,3
Branchiostoma_floridae,171,0,3
Cephalodiscus_gracilis,129,0,3
Cephalodiscus_gracilis,200,0,3
Cephalodiscus_gracilis,95,0,3
Cephalothrix_hongkongiensis,172,0,3
Cephalothrix_hongkongiensis,4,0,3
Cephalothrix_hongkongiensis,94,0,3
Ciona_intestinalis,93,0,3
Cliona_varians,152,0,3
Cliona_varians,206,0,3
Cliona_varians,85,0,3
Convolutriloba_macropyga,140,0,3
Convolutriloba_macropyga,31,0,3
Convolutriloba_macropyga,35,0,3
Crassostrea_gigas,153,0,3
Daphnia_pulex,191,0,3
Daphnia_pulex,212,0,3
Drosophila_melanogaster,191,0,3
Dumetocrinus_sp,122,0,3
Dumetocrinus_sp,68,0,3
Dumetocrinus_sp,76,0,3
Eumecynostomum_macrobursalium,35,0,3
Eumecynostomum_macrobursalium,95,0,3
Eunicella_cavolinii,159,0,3
Eunicella_cavolinii,94,0,3
Euplokamis_dunlapae,66,0,3
Euplokamis_dunlapae,67,0,3
Gallus_gallus,22,0,3
Isodiametra_pulchra,85,0,3
Ixodes_scapularis,152,0,3
Labidiaster_annulatus,76,0,3
Labidiaster_annulatus,99,0,3
Lepidodermella_squamata,174,0,3
Lepidodermella_squamata,191,0,3
Lepidodermella_squamata,52,0,3
Lepidodermella_squamata,84,0,3
Leptosynapta_clarki,122,0,3
Leptosynapta_clarki,132,0,3
Leucosolenia_complicata,194,0,3
Loxosoma_pectinaricola,103,0,3
Loxosoma_pectinaricola,124,0,3
Loxosoma_pectinaricola,206,0,3
Macrodasys_sp,100,0,3
Macrodasys_sp,134,0,3
Macrodasys_sp,158,0,3
Macrodasys_sp,194,0,3
Macrodasys_sp,49,0,3
Macrodasys_sp,90,0,3
Meara_stichopi,132,0,3
Meara_stichopi,191,0,3
Meara_stichopi,35,0,3
Megadasys_sp,144,0,3
Megadasys_sp,158,0,3
Megadasys_sp,181,0,3
Megadasys_sp,196,0,3
Mnemiopsis_leidyi,109,0,3
Mnemiopsis_leidyi,174,0,3
Mnemiopsis_leidyi,181,0,3
Mnemiopsis_leidyi,188,0,3
Mnemiopsis_leidyi,206,0,3
Mnemiopsis_leidyi,27,0,3
Mnemiopsis_leidyi,47,0,3
Mnemiopsis_leidyi,61,0,3
Mnemiopsis_leidyi,74,0,3
Monosiga_brevicollis,114,0,3
Monosiga_brevicollis,121,0,3
Monosiga_brevicollis,123,0,3
Monosiga_brevicollis,13,0,3
Monosiga_brevicollis,150,0,3
Monosiga_brevicollis,151,0,3
Monosiga_brevicollis,157,0,3
Monosiga_brevicollis,162,0,3
Monosiga_brevicollis,167,0,3
Monosiga_brevicollis,173,0,3
Monosiga_brevicollis,175,0,3
Monosiga_brevicollis,177,0,3
Monosiga_brevicollis,187,0,3
Monosiga_brevicollis,50,0,3
Monosiga_brevicollis,72,0,3
Monosiga_brevicollis,75,0,3
Nemertoderma_westbladi,125,0,3
Nemertoderma_westbladi,35,0,3
Oscarella_carmela,158,0,3
Oscarella_carmela,207,0,3
Oscarella_carmela,38,0,3
Peripatopsis_capensis,100,0,3
Peripatopsis_capensis,152,0,3
Petromyzon_marinus,139,0,3
Petromyzon_marinus,153,0,3
Petromyzon_marinus,31,0,3
Petromyzon_marinus,35,0,3
Pleurobrachia_bachei,109,0,3
Pleurobrachia_bachei,141,0,3
Pleurobrachia_bachei,181,0,3
Pleurobrachia_bachei,61,0,3
Pomatoceros_lamarckii,138,0,3
Pomatoceros_lamarckii,22,0,3
Salpingoeca_rosetta,114,0,3
Salpingoeca_rosetta,121,0,3
Salpingoeca_rosetta,123,0,3
Salpingoeca_rosetta,13,0,3
Salpingoeca_rosetta,150,0,3
Salpingoeca_rosetta,151,0,3
Salpingoeca_rosetta,157,0,3
Salpingoeca_rosetta,167,0,3
Salpingoeca_rosetta,173,0,3
Salpingoeca_rosetta,175,0,3
Salpingoeca_rosetta,187,0,3
Salpingoeca_rosetta,199,0,3
Salpingoeca_rosetta,205,0,3
Salpingoeca_rosetta,35,0,3
Salpingoeca_rosetta,50,0,3
Salpingoeca_rosetta,72,0,3
Salpingoeca_rosetta,75,0,3
Schistosoma_mansoni,61,0,3
Schistosoma_mansoni,84,0,3
Schmidtea_mediterranea,38,0,3
Schmidtea_mediterranea,99,0,3
Strongylocentrotus_purpuratus,76,0,3
Sycon_ciliatum,194,0,3
Taenia_pisiformes,113,0,3
Taenia_pisiformes,205,0,3
Trichoplax_adhaerens,92,0,3
Xenoturbella_bocki,50,0,3
Acropora_digitifera,119,0.00001,3
Acropora_digitifera,153,0.00001,3
Acropora_digitifera,18,0.00001,3
Acropora_digitifera,78,0.00001,3
Acropora_digitifera,87,0.00001,3
Adineta_ricciae,143,0.00001,3
Adineta_ricciae,192,0.00001,3
Adineta_ricciae,60,0.00001,3
Adineta_vaga,192,0.00001,3
Adineta_vaga,60,0.00001,3
Adineta_vaga,89,0.00001,3
Aphrocallistes_vastus,130,0.00001,3
Aphrocallistes_vastus,132,0.00001,3
Aphrocallistes_vastus,159,0.00001,3
Aphrocallistes_vastus,33,0.00001,3
Aphrocallistes_vastus,36,0.00001,3
Aphrocallistes_vastus,40,0.00001,3
Aphrocallistes_vastus,63,0.00001,3
Aphrocallistes_vastus,70,0.00001,3
