species,gene,lam,k,rep
17,2,0,3,22
33,2,0,3,22
14,2,0,3,22
2,2,0,3,22
32,19,0,3,22
17,19,0,3,22
33,19,0,3,22
14,19,0,3,22
2,19,0,3,22
32,32,0,3,22
17,32,0,3,22
33,32,0,3,22
14,32,0,3,22
63,32,0,3,22
79,32,0,3,22
65,32,0,3,22
50,32,0,3,22
47,32,0,3,22
25,32,0,3,22
46,38,0,3,22
58,38,0,3,22
16,54,0,3,22
35,54,0,3,22
10,54,0,3,22
21,54,0,3,22
20,54,0,3,22
23,54,0,3,22
41,59,0,3,22
67,62,0,3,22
41,62,0,3,22
35,84,0,3,22
20,84,0,3,22
23,84,0,3,22
46,96,0,3,22
17,2,0.00001,3,22
33,2,0.00001,3,22
14,2,0.00001,3,22
2,2,0.00001,3,22
32,19,0.00001,3,22
17,19,0.00001,3,22
33,19,0.00001,3,22
14,19,0.00001,3,22
2,19,0.00001,3,22
32,32,0.00001,3,22
63,32,0.00001,3,22
2,32,0.00001,3,22
79,32,0.00001,3,22
65,32,0.00001,3,22
50,32,0.00001,3,22
47,32,0.00001,3,22
25,32,0.00001,3,22
46,38,0.00001,3,22
92,52,0.00001,3,22
16,54,0.00001,3,22
35,54,0.00001,3,22
10,54,0.00001,3,22
21,54,0.00001,3,22
20,54,0.00001,3,22
23,54,0.00001,3,22
67,62,0.00001,3,22
41,62,0.00001,3,22
35,84,0.00001,3,22
10,84,0.00001,3,22
21,84,0.00001,3,22
46,96,0.00001,3,22
17,2,0.0001,3,22
33,2,0.0001,3,22
14,2,0.0001,3,22
2,2,0.0001,3,22
4,22,0.0001,3,22
15,22,0.0001,3,22
26,22,0.0001,3,22
46,49,0.0001,3,22
16,54,0.0001,3,22
35,54,0.0001,3,22
10,54,0.0001,3,22
21,54,0.0001,3,22
20,54,0.0001,3,22
23,54,0.0001,3,22
46,96,0.0001,3,22
4,22,0.001,3,22
15,22,0.001,3,22
26,22,0.001,3,22
25,22,0.001,3,22
6,22,0.001,3,22
29,22,0.001,3,22
99,26,0.001,3,22
77,26,0.001,3,22
27,46,0.001,3,22
11,46,0.001,3,22
22,46,0.001,3,22
46,46,0.001,3,22
36,46,0.001,3,22
12,46,0.001,3,22
75,46,0.001,3,22
46,49,0.001,3,22
50,49,0.001,3,22
47,49,0.001,3,22
4,94,0.001,3,22
15,94,0.001,3,22
26,94,0.001,3,22
0,94,0.01,3,22
20,7,1,3,22
23,7,1,3,22
0,45,1,3,22
32,75,1,3,22
17,75,1,3,22
33,75,1,3,22
14,75,1,3,22
32,7,10,3,22
17,7,10,3,22
33,7,10,3,22
14,7,10,3,22
27,7,10,3,22
11,7,10,3,22
22,7,10,3,22
1,7,10,3,22
30,7,10,3,22
2,7,10,3,22
8,7,10,3,22
36,7,10,3,22
16,7,10,3,22
35,7,10,3,22
10,7,10,3,22
21,7,10,3,22
12,7,10,3,22
20,7,10,3,22
23,7,10,3,22
17,62,10,3,22
33,62,10,3,22
14,62,10,3,22
63,62,10,3,22
2,62,10,3,22
79,62,10,3,22
50,62,10,3,22
25,62,10,3,22
13,62,10,3,22
8,62,10,3,22
6,62,10,3,22
29,62,10,3,22
16,62,10,3,22
21,62,10,3,22
23,62,10,3,22
32,7,100,3,22
17,7,100,3,22
33,7,100,3,22
14,7,100,3,22
27,7,100,3,22
11,7,100,3,22
22,7,100,3,22
66,7,100,3,22
67,7,100,3,22
71,7,100,3,22
1,7,100,3,22
4,7,100,3,22
15,7,100,3,22
30,7,100,3,22
2,7,100,3,22
25,7,100,3,22
8,7,100,3,22
6,7,100,3,22
36,7,100,3,22
16,7,100,3,22
35,7,100,3,22
10,7,100,3,22
21,7,100,3,22
12,7,100,3,22
20,7,100,3,22
23,7,100,3,22
17,62,100,3,22
33,62,100,3,22
14,62,100,3,22
63,62,100,3,22
2,62,100,3,22
79,62,100,3,22
50,62,100,3,22
47,62,100,3,22
25,62,100,3,22
13,62,100,3,22
8,62,100,3,22
6,62,100,3,22
29,62,100,3,22
16,62,100,3,22
35,62,100,3,22
10,62,100,3,22
21,62,100,3,22
12,62,100,3,22
20,62,100,3,22
23,62,100,3,22
58,62,100,3,22
32,7,true,3,22
17,7,true,3,22
33,7,true,3,22
14,7,true,3,22
27,7,true,3,22
11,7,true,3,22
22,7,true,3,22
66,7,true,3,22
67,7,true,3,22
71,7,true,3,22
45,7,true,3,22
1,7,true,3,22
4,7,true,3,22
15,7,true,3,22
30,7,true,3,22
2,7,true,3,22
25,7,true,3,22
8,7,true,3,22
6,7,true,3,22
36,7,true,3,22
16,7,true,3,22
35,7,true,3,22
10,7,true,3,22
21,7,true,3,22
12,7,true,3,22
20,7,true,3,22
23,7,true,3,22
17,62,true,3,22
33,62,true,3,22
14,62,true,3,22
63,62,true,3,22
2,62,true,3,22
79,62,true,3,22
50,62,true,3,22
47,62,true,3,22
25,62,true,3,22
13,62,true,3,22
8,62,true,3,22
6,62,true,3,22
29,62,true,3,22
16,62,true,3,22
35,62,true,3,22
10,62,true,3,22
21,62,true,3,22
12,62,true,3,22
20,62,true,3,22
23,62,true,3,22
58,62,true,3,22
0,88,true,3,22
27,88,true,3,22
11,88,true,3,22
22,88,true,3,22
59,88,true,3,22
100,88,true,3,22
93,88,true,3,22
43,88,true,3,22
66,88,true,3,22
45,88,true,3,22
1,88,true,3,22
6,88,true,3,22
29,88,true,3,22
36,88,true,3,22
