species,gene,lam,k,rep
17,9,0,3,14
55,12,0,3,14
85,12,0,3,14
17,17,0,3,14
31,18,0,3,14
55,25,0,3,14
85,25,0,3,14
58,27,0,3,14
27,29,0,3,14
53,29,0,3,14
31,34,0,3,14
67,34,0,3,14
85,34,0,3,14
72,35,0,3,14
80,37,0,3,14
75,37,0,3,14
94,38,0,3,14
52,43,0,3,14
17,46,0,3,14
26,48,0,3,14
26,52,0,3,14
46,57,0,3,14
55,60,0,3,14
85,60,0,3,14
90,61,0,3,14
83,61,0,3,14
51,64,0,3,14
73,64,0,3,14
89,72,0,3,14
51,72,0,3,14
73,72,0,3,14
53,81,0,3,14
81,82,0,3,14
35,82,0,3,14
26,90,0,3,14
53,90,0,3,14
55,90,0,3,14
85,90,0,3,14
41,93,0,3,14
51,97,0,3,14
73,97,0,3,14
55,99,0,3,14
85,99,0,3,14
0,99,0,3,14
55,12,0.00001,3,14
85,12,0.00001,3,14
55,16,0.00001,3,14
31,18,0.00001,3,14
55,25,0.00001,3,14
85,25,0.00001,3,14
27,29,0.00001,3,14
31,34,0.00001,3,14
67,34,0.00001,3,14
80,37,0.00001,3,14
75,37,0.00001,3,14
40,38,0.00001,3,14
68,38,0.00001,3,14
56,38,0.00001,3,14
77,38,0.00001,3,14
26,38,0.00001,3,14
53,38,0.00001,3,14
55,38,0.00001,3,14
85,38,0.00001,3,14
52,43,0.00001,3,14
59,45,0.00001,3,14
17,46,0.00001,3,14
46,57,0.00001,3,14
55,60,0.00001,3,14
85,60,0.00001,3,14
33,68,0.00001,3,14
53,68,0.00001,3,14
41,68,0.00001,3,14
31,68,0.00001,3,14
67,68,0.00001,3,14
55,68,0.00001,3,14
85,68,0.00001,3,14
89,72,0.00001,3,14
71,73,0.00001,3,14
32,73,0.00001,3,14
53,81,0.00001,3,14
26,90,0.00001,3,14
53,90,0.00001,3,14
55,90,0.00001,3,14
85,90,0.00001,3,14
41,93,0.00001,3,14
51,97,0.00001,3,14
73,97,0.00001,3,14
55,99,0.00001,3,14
85,99,0.00001,3,14
0,99,0.00001,3,14
55,12,0.0001,3,14
85,12,0.0001,3,14
55,16,0.0001,3,14
31,18,0.0001,3,14
55,25,0.0001,3,14
85,25,0.0001,3,14
27,29,0.0001,3,14
31,34,0.0001,3,14
67,34,0.0001,3,14
75,37,0.0001,3,14
32,38,0.0001,3,14
82,38,0.0001,3,14
40,38,0.0001,3,14
68,38,0.0001,3,14
94,38,0.0001,3,14
56,38,0.0001,3,14
77,38,0.0001,3,14
96,38,0.0001,3,14
5,38,0.0001,3,14
18,38,0.0001,3,14
19,38,0.0001,3,14
26,38,0.0001,3,14
53,38,0.0001,3,14
41,38,0.0001,3,14
31,38,0.0001,3,14
67,38,0.0001,3,14
55,38,0.0001,3,14
85,38,0.0001,3,14
52,43,0.0001,3,14
59,45,0.0001,3,14
53,45,0.0001,3,14
55,45,0.0001,3,14
85,45,0.0001,3,14
55,60,0.0001,3,14
85,60,0.0001,3,14
71,68,0.0001,3,14
33,68,0.0001,3,14
32,68,0.0001,3,14
92,68,0.0001,3,14
26,68,0.0001,3,14
98,68,0.0001,3,14
61,68,0.0001,3,14
53,68,0.0001,3,14
41,68,0.0001,3,14
31,68,0.0001,3,14
67,68,0.0001,3,14
55,68,0.0001,3,14
85,68,0.0001,3,14
71,73,0.0001,3,14
33,73,0.0001,3,14
32,73,0.0001,3,14
53,81,0.0001,3,14
53,90,0.0001,3,14
55,90,0.0001,3,14
85,90,0.0001,3,14
41,93,0.0001,3,14
73,97,0.0001,3,14
55,99,0.0001,3,14
85,99,0.0001,3,14
0,99,0.0001,3,14
55,16,0.001,3,14
31,18,0.001,3,14
55,25,0.001,3,14
85,25,0.001,3,14
67,34,0.001,3,14
82,38,0.001,3,14
44,38,0.001,3,14
34,38,0.001,3,14
40,38,0.001,3,14
68,38,0.001,3,14
39,38,0.001,3,14
36,38,0.001,3,14
37,38,0.001,3,14
66,38,0.001,3,14
65,38,0.001,3,14
54,38,0.001,3,14
100,38,0.001,3,14
56,38,0.001,3,14
77,38,0.001,3,14
21,38,0.001,3,14
23,38,0.001,3,14
63,38,0.001,3,14
96,38,0.001,3,14
93,38,0.001,3,14
57,38,0.001,3,14
87,38,0.001,3,14
5,38,0.001,3,14
17,38,0.001,3,14
18,38,0.001,3,14
19,38,0.001,3,14
26,38,0.001,3,14
53,38,0.001,3,14
41,38,0.001,3,14
31,38,0.001,3,14
67,38,0.001,3,14
55,38,0.001,3,14
85,38,0.001,3,14
59,45,0.001,3,14
56,45,0.001,3,14
77,45,0.001,3,14
2,45,0.001,3,14
13,45,0.001,3,14
14,45,0.001,3,14
25,45,0.001,3,14
20,45,0.001,3,14
53,45,0.001,3,14
31,45,0.001,3,14
67,45,0.001,3,14
55,45,0.001,3,14
85,45,0.001,3,14
55,60,0.001,3,14
85,60,0.001,3,14
71,68,0.001,3,14
33,68,0.001,3,14
32,68,0.001,3,14
92,68,0.001,3,14
26,68,0.001,3,14
98,68,0.001,3,14
61,68,0.001,3,14
53,68,0.001,3,14
41,68,0.001,3,14
31,68,0.001,3,14
67,68,0.001,3,14
55,68,0.001,3,14
85,68,0.001,3,14
71,73,0.001,3,14
33,73,0.001,3,14
32,73,0.001,3,14
82,73,0.001,3,14
34,73,0.001,3,14
53,81,0.001,3,14
41,93,0.001,3,14
55,99,0.001,3,14
0,99,0.001,3,14
55,16,0.01,3,14
0,16,0.01,3,14
31,18,0.01,3,14
82,38,0.01,3,14
44,38,0.01,3,14
34,38,0.01,3,14
40,38,0.01,3,14
68,38,0.01,3,14
39,38,0.01,3,14
36,38,0.01,3,14
37,38,0.01,3,14
66,38,0.01,3,14
65,38,0.01,3,14
54,38,0.01,3,14
56,38,0.01,3,14
77,38,0.01,3,14
21,38,0.01,3,14
23,38,0.01,3,14
